vertical,businessName,phone,address,rating,reviewCount,website,search_query
dog_groomers,THEO'S,+44 7590 194347,"Lancaster House, 80 Princess St, Manchester M1 6NF, United Kingdom",4.9,18,https://www.theosdogs.co.uk/,dog grooming Manchester
dog_groomers,Garden Tails,+44 7726 429209,"6 Rectory Ave, Prestwich, Manchester M25 1DE, United Kingdom",5,105,https://www.gardentails.co.uk/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=7680167830431826678,dog grooming Manchester
dog_groomers,Woof To Wag,+44 7963 592498,"59 Doncaster Ave, Withington, Manchester M20 1DH, United Kingdom",5,11,,dog grooming Manchester
dog_groomers,J.C Pets pamper & Groom,+44 7769 721750,"95 Vine St, Abbey Hey, Manchester M18 8SR, United Kingdom",4.8,18,,dog grooming Manchester
dog_groomers,Shearzam dog grooming,+44 7850 799266,"2, Manchester M18 7BF, United Kingdom",5,23,,dog grooming Manchester
dog_groomers,Loubie Lou’s Dog Grooming,+44 7494 755736,"444 Hollinwood Ave, Manchester M40 0JH, United Kingdom",5,21,,dog grooming Manchester
dog_groomers,"The Mutts Club, Manchester City Centre Dog Grooming",+44 161 413 3969,"Unit 5, The Mutts Club, 2 Lampwick Ln, Manchester M4 6BU, United Kingdom",4.9,76,http://www.themuttsclub.co.uk/,dog grooming Manchester
cleaners,Cleaner in Manchester (0161) Ltd,+44 161 710 4789,"St James Tower, 7 Charlotte St, Manchester M1 4DZ, United Kingdom",4.9,29,https://0161cleanerinmanchester.co.uk/,cleaners Manchester
cleaners,Cleaners With Pride,+44 7840 017649,"23 Pattishall Cl, Manchester M4 7DU, United Kingdom",4.9,804,https://www.cleanerswithpride.co.uk/,cleaners Manchester
cleaners,"The 3D Laundry & Dry Cleaning Services - Laundry Services Manchester, free pick up and 24-hour delivery.book online",+44 7553 960088,"78 Stockport Rd, Ardwick, Manchester M12 6AL, United Kingdom",4.7,53,https://3dlaundry.co.uk/,cleaners Manchester
cleaners,Frontline Cleaners Manchester.,+44 7513 442399,"Bartle House, 9 Oxford Ct, Manchester M2 3WQ, United Kingdom",4.8,51,http://frontlineexpress.co.uk/,cleaners Manchester
cleaners,Manchester Dry Cleaners,+44 161 832 5863,"24 Red Bank, Cheetham Hill, Manchester M4 4HF, United Kingdom",4.7,98,http://www.manchester-dry-cleaners.co.uk/,cleaners Manchester
cleaners,Manchester Cleaner,+44 161 823 0200,"58 Oldham Rd, Ancoats, Manchester M4 5EE, United Kingdom",5,2,https://www.manchestercleaner.co.uk/,cleaners Manchester
cleaners,Village Dry Cleaners Limited,+44 161 860 4451,"38 Manchester Rd, Chorlton-cum-Hardy, Manchester M21 9PH, United Kingdom",4.6,194,http://www.villagedrycleaners.com/,cleaners Manchester
cleaners,Atlas Dry cleaning laundrette and tailoring services Manchester,+44 161 256 4545,"10B Wilmslow Rd, Manchester M14 5TP, United Kingdom",4.2,199,,cleaners Manchester
cleaners,Morio Cleaners Manchester Ltd,+44 7380 736728,"31 Thurlwood Ave, Manchester M20 1DZ, United Kingdom",4.8,6,,cleaners Manchester
cleaners,Manchester House Cleaning Services,+44 161 676 2888,"61 Mosley St, Manchester M2 3HZ, United Kingdom",4.9,201,https://www.manchesterhousecleaningservices.co.uk/,cleaners Manchester
hair,LoA Tokyo Manchester,+44 7778 432650,"38 Spear St, Manchester M1 1AS, United Kingdom",4.9,165,,hairdresser Manchester UK
hair,Melissa Timperley Hair Salon,+44 161 834 5945,"City Centre, 67 Tib St, Manchester M4 1LS, United Kingdom",4.9,668,http://www.melissa-salons.com/?utm_source=gmb&utm_medium=Organic&utm_campaign=gmb%20traffic,hairdresser Manchester UK
hair,Manchester Curly Hairdresser : Tori Styless,+44 7479 926079,"Unit 7, 8 King St, Manchester M2 4LQ, United Kingdom",5,10,https://toristyless.as.me/,hairdresser Manchester UK
hair,Rush Hair Manchester,+44 161 241 7618,"69 Deansgate, Manchester M3 2BW, United Kingdom",4.3,604,https://www.rush.co.uk/salons/manchester,hairdresser Manchester UK
hair,The Studio,+44 161 236 4182,"10 Stevenson Square, Manchester M1 1FB, United Kingdom",5,211,http://www.thestudiomanchester.co.uk/,hairdresser Manchester UK
hair,HAIR,+44 7930 612668,"63a Faulkner St, Manchester M1 4FF, United Kingdom",4.6,110,,hairdresser Manchester UK
hair,RCNQ,+44 161 222 0200,"16 Whittle St, Manchester M4 1LT, United Kingdom",4.8,761,http://www.rcnq.co.uk/,hairdresser Manchester UK
hair,Shade Hair Mcr,+44 7417 547070,"86 Princess St, Manchester M1 6NG, United Kingdom",4.9,135,http://www.shademcr.com/,hairdresser Manchester UK
hair,Vox Hairdressing,+44 161 637 4077,"City Centre, 50 Port St, Manchester M1 2EQ, United Kingdom",4.9,707,http://www.voxhairdressing.com/,hairdresser Manchester UK
hair,Love Is In The Hair by Aggela - Ancoats,+44 161 526 1474,"22 Swan St, Manchester M4 5JQ, United Kingdom",4.9,174,https://hairbyaggela.co.uk/,hairdresser Manchester UK
beauty,Beauty and Bubbles,+44 161 228 3375,"47 Dale St, Manchester M1 2HF, United Kingdom",4.7,1413,https://www.beautyandbubbles.co.uk/,beauty salon Manchester UK
beauty,Deluxe Beauty Lounge Manchester | Beauty Salon,+44 7481 250920,"24 Blackfriars St, Salford M3 5BQ, United Kingdom",4.8,44,https://deluxebeautylounge.co.uk/,beauty salon Manchester UK
beauty,Cut & Glow hair and beauty,+44 7348 131852,"Market, Manchester Arndale, 49 Market street,Indide, Manchester M4 3AH, United Kingdom",5,96,,beauty salon Manchester UK
beauty,LoA Tokyo Manchester,+44 7778 432650,"38 Spear St, Manchester M1 1AS, United Kingdom",4.9,165,,beauty salon Manchester UK
beauty,MS Beauty Salon,+44 7903 916231,"65 Peter St, Manchester M2 5PB, United Kingdom",5,35,https://msbeautysalon.uk/,beauty salon Manchester UK
beauty,Manchester Beauty,+44 7554 456907,"21 Saddlewood Ave, Manchester M19 1QW, United Kingdom",4.8,43,,beauty salon Manchester UK
beauty,GlamAura Hair & Beauty Salon,+44 7407 742227,"Ste 9 - 1st Floor, The Point Building, 173 175 Cheetham Hill Rd, Cheetham Hill, Manchester M8 8LG, United Kingdom",5,613,http://www.glam-aura.co.uk/,beauty salon Manchester UK
beauty,LILLY NAIL AND BEAUTY MANCHESTER,+44 161 425 5858,"14-16 Whitworth St, Manchester M1 3BS, United Kingdom",4.5,657,http://www.lillynailnbeauty.co.uk/,beauty salon Manchester UK
beauty,"Townhouse Nail Salon, Manchester King Street",+44 20 7947 0100,"34 King St, Manchester M2 6AZ, United Kingdom",4.8,325,https://townhouse.co.uk/locations/manchester/?utm_source=google&utm_medium=organic_gbp&utm_campaign=north,beauty salon Manchester UK
beauty,Nataya Beauty,+44 161 390 0121,"First Floor, Pleer House, 1 Fennel St, Manchester M4 3DU, United Kingdom",4.8,113,https://natayabeauty.co.uk/,beauty salon Manchester UK
lashes,Lash Loft Manchester,,"Beehive Mill, Ancoats, Manchester M4 6JG, United Kingdom",5,13,https://linktr.ee/lashloftmcr?utm_source=linktree_profile_share&ltsid=bc91f089-a2c0-4584-b2ca-58050d32b4f1,lash extensions Manchester UK
lashes,London Lash - Biab Nails Manchester - Eyelashes & Eyebrow,+44 7874 909728,"4th floor, Gainsborough House, buzz 501 enter, 109 Portland St, Manchester M1 6DN, United Kingdom",4.9,337,https://london-lash.com/,lash extensions Manchester UK
lashes,La Belle Lashes & Brows in Manchester,+44 7510 630654,"49 Piccadilly, Manchester M1 2AP, United Kingdom",5,30,https://www.instagram.com/labellebeautyyy,lash extensions Manchester UK
lashes,Savage BeautyLuxe - Lash Extension & Brows - Piccadilly gardens,+44 7423 032987,"7 Charlotte St, Manchester M1 4DZ, United Kingdom",5,24,https://savagebeautyluxe.co.uk/,lash extensions Manchester UK
lashes,Beauty and Bubbles,+44 161 228 3375,"47 Dale St, Manchester M1 2HF, United Kingdom",4.7,1413,https://www.beautyandbubbles.co.uk/,lash extensions Manchester UK
lashes,All Eyes by Laura,,"66 Ellesmere St, Manchester M15 4QT, United Kingdom",5,111,http://www.instagram.com/alleyesbylaura,lash extensions Manchester UK
lashes,Linh Beauty,+44 7894 556789,"19 Spring Gardens, Manchester M2 1FB, United Kingdom",4.5,75,https://widget.treatwell.co.uk/place/linh-beauty/?utm_medium=partner-ecosystem&utm_campaign=partner-instagram&utm_content=book-now,lash extensions Manchester UK
lashes,Underaura - Lash Tech Manchester city centre,+44 7454 925669,"74 Princess St, Manchester M1 6JD, United Kingdom",5,10,https://www.phorest.com/salon/theshallowslimited/book/services?staffId=v1llywF7nOXfLooS2xlECA,lash extensions Manchester UK
lashes,C•LOVE BEAUTY UK,+44 7775 830096,"Ste 516, 49 Piccadilly, Manchester M1 2AP, United Kingdom",4.8,16,http://clovebeautyuk.gettimely.com/,lash extensions Manchester UK
lashes,Eyelash extension Manchester & permanent make up,+44 7593 604629,"151 Eccles Old Rd, Salford M6 8FH, United Kingdom",5,11,https://www.facebook.com/eyelashextensions.manchester.1,lash extensions Manchester UK
car_detailers,Vulpix Car Detailing Manchester,07999 716916,"Unit 1 Lower Wharf Street, ASHTON-UNDER-LYNE OL6 7PE",5,266,,car detailing Manchester UK
car_detailers,Fresh Car Valeting Manchester,,"4 Whitworth St, Piccadilly, Manchester M1 3BR, United Kingdom",4.9,411,https://www.freshcar.co.uk/england-locations/north-west/car-valeting-manchester/,car detailing Manchester UK
car_detailers,Lukas Car Detailing Manchester,,"Unit 8A Reliance St, Manchester M40 3AG, United Kingdom",5,57,https://www.lukascardetailing.co.uk/,car detailing Manchester UK
car_detailers,M14 Valeters,+44 7440 151765,"Printworks Ln, Manchester M19 3HS, United Kingdom",5,98,https://www.m14valeters.co.uk/,car detailing Manchester UK
car_detailers,H6 Car Studio,,"137 Fairfield St, Manchester M12 6FJ, United Kingdom",4.6,201,https://h6carstudio.com/,car detailing Manchester UK
car_detailers,Central Auto Clean EST 1962,+44 161 273 1906,"351 Stockport Rd, Longsight, Manchester M13 0LF, United Kingdom",4.8,817,https://centralautoclean.co.uk/,car detailing Manchester UK
car_detailers,ARC ELITE DETAILING,+44 7984 499931,"universal square, Devonshire St N, Manchester M12 6JH, United Kingdom",5,8,,car detailing Manchester UK
car_detailers,Manchester Car Spa,+44 7547 332227,"Parrs Wood Rd, Manchester M20 5NH, United Kingdom",5,2,https://www.facebook.com/manchestercarspa,car detailing Manchester UK
car_detailers,2 GLOSSY VALETS AND DETAILING,+44 7958 384862,"6 Owen St., Manchester M15 4TQ, United Kingdom",4.8,19,https://my2glossy.com/,car detailing Manchester UK
driving_instructors,Astra Driving School Manchester,+44 7758 837589,"11 Bowling Green Ln., Longsight, Manchester M12 5FZ, United Kingdom",4.9,315,https://astradrivingschool.com/,driving instructor Manchester UK
driving_instructors,Suja Driving School Manchester - Intensive Driving Lessons & Driving Crash Course Manchester,+44 333 322 2233,"Peter House, Oxford St, Manchester M1 5AE, United Kingdom",4.8,2234,https://sujadrivingschool.co.uk/,driving instructor Manchester UK
driving_instructors,Make It Driving School Manchester | Manual and Automatic Driving Lessons in Manchester | Best Intensive Driving Courses,+44 7301 626872,"Smalldale Ave, Manchester M16 7JH, United Kingdom",5,142,https://www.makeitdrivingschool.co.uk/,driving instructor Manchester UK
driving_instructors,Round the Bends (Manual & Automatic) Driving School Manchester,+44 7402 905394,"7 Whalley Ave, Levenshulme, Manchester M19 3FD, United Kingdom",4.9,593,http://roundthebends.com/,driving instructor Manchester UK
driving_instructors,Impulse Driving School - Manchester,+44 161 492 0547,"Spaces, 2 Oxford St, Manchester M1 5AN, United Kingdom",5,594,https://impulsedrive.co.uk/,driving instructor Manchester UK
driving_instructors,ZK Driving School (Manchester),+44 7539 046284,"115 Russell St, Manchester M16 7JL, United Kingdom",5,73,https://zkdrivingschool.co.uk/,driving instructor Manchester UK
driving_instructors,Best Drive School of Motoring | Driving Lessons Manchester,+44 7930 921226,"131 Manley Rd, Manchester M16 8WE, United Kingdom",5,778,https://bestdrive.co.uk/,driving instructor Manchester UK
driving_instructors,Uncle Joe's Driving School,+44 7951 982866,"Unit 113, Uncle Joe's Driving School, 2 Hellidon Cl, Ardwick, Manchester M12 4AH, United Kingdom",4.9,440,http://www.passwithunclejoe.co.uk/,driving instructor Manchester UK
driving_instructors,Express Pass Driving School Ltd,,"167 Waterloo Rd, Cheetham Hill, Manchester M8 8BT, United Kingdom",5,763,https://expresspass.co.uk/,driving instructor Manchester UK
driving_instructors,SMH (Automatic) Driving School Manchester,+44 7883 913604,"4 Edlin Cl, Manchester M12 4WG, United Kingdom",5,252,http://www.smhdrivingschoolmanchester.co.uk/,driving instructor Manchester UK
gardeners,House of Dreams Manchester,+44 7310 241431,,5,74,https://hofdreams.co.uk/?utm_source=google+organic&utm_medium=organic&utm_campaign=google+my+business,gardener Manchester UK
gardeners,Manchester Green Glow,+44 7947 329197,,5,21,https://manchestergreenglow.co.uk/,gardener Manchester UK
gardeners,Seaforde Gardens & Tropical Butterfly House,+44 28 4481 1225,"Seaforde, Downpatrick BT30 8PG, United Kingdom",4.5,934,http://www.seafordegardens.com/,gardener Manchester UK
gardeners,CleanCuts Lawn Kings • Property/Grounds Maintenance,+44 7455 726179,"Claremont Rd, Manchester M14 4TS, United Kingdom",4.9,500,https://cleancutsmcr.co.uk/,gardener Manchester UK
gardeners,James Moran Gardening,+44 7771 895813,,5,14,,gardener Manchester UK
gardeners,Manchester Gardening,+44 7843 187401,,4.3,6,https://manchester-gardening.co.uk/,gardener Manchester UK
gardeners,Eco-Gardener,+44 7785 708185,"Leyland Ave, Manchester M20 6EW, United Kingdom",5,14,http://www.eco-gardener.co.uk/,gardener Manchester UK
gardeners,KMR Gardens & Landscapes,+44 7926 900922,"194 Lloyd St S, Fallowfield, Manchester M14 7DY, United Kingdom",4.9,50,http://kmr-gardens-and-landscapes.co.uk/,gardener Manchester UK
gardeners,Failsworth Landscapes and Gardens,+44 7377 373153,"39 Rolls Cres, Hulme, Manchester M15 5FT, United Kingdom",5,27,http://trimnhedgegardenmaintenance.com/,gardener Manchester UK
gardeners,Firswood Gardens,+44 7536 981445,"Rye Bank Rd, Old Trafford, Stretford, Manchester M16 0HS, United Kingdom",5,12,http://www.firswoodgardens.co.uk/,gardener Manchester UK
weddings,Ally M Photography - Manchester Wedding Photographer,+44 7824 862520,"2 Ltd, Cubo Manchester, 1 Spinningfields Quay St, Manchestere M3 3JE, United Kingdom",5,79,https://allym.photography/,wedding photographer Manchester UK
weddings,BeardedCamera | Manchester Wedding Photographer | Manchester Wedding Photography,+44 7541 089528,"Apt 1120, 12 Leftbank, Manchester M3 3AH, United Kingdom",5,50,https://www.beardedcamera.com/,wedding photographer Manchester UK
weddings,Danarus Photostudio,+44 7428 664274,"468 Burnage Ln, Manchester M19 1LH, United Kingdom",4.6,293,https://www.danarusphotostudio.co.uk/contact,wedding photographer Manchester UK
weddings,Joe Hague Photography,+44 7561 306410,"42 Merton Rd, Prestwich, Manchester M25 1PL, United Kingdom",5,41,http://www.joehaguephotography.com/,wedding photographer Manchester UK
weddings,Rebecca Conway Photography,+44 161 960 0225,"Rebecca Conway Photography, Turner Business Centre, Greengate, Middleton, Manchester M24 1RU, United Kingdom",4.9,38,https://www.rebeccaconway.co.uk/,wedding photographer Manchester UK
weddings,Olpa Photography,+44 7415 470956,"Grosvenor St, Manchester M13 9UY, United Kingdom",5,49,https://olpa-photography.co.uk/,wedding photographer Manchester UK
weddings,GNPHOTO,+44 7940 404024,"70 Mayford Rd, Levenshulme, Manchester M19 3DP, United Kingdom",5,44,https://www.gnphoto.co.uk/,wedding photographer Manchester UK
weddings,Rob Clayton Photography,+44 7814 526220,,5,96,http://www.robclaytonphotography.co.uk/,wedding photographer Manchester UK
weddings,James Melia Studio,,"James Melia Studio, Graphite House, Paddock St, Manchester M12 6HT, United Kingdom",5,938,https://jamesmelia.co/,wedding photographer Manchester UK
weddings,Eddie Studios Limited,+44 7412 705560,"Eddie Studios Limited, Miles Platting, Manchester M40 8BB, United Kingdom",5,67,,wedding photographer Manchester UK
