vertical,city,businessName,phone,address,rating,reviewCount,website,company_number,company_name,company_status,company_type,incorporation_date,sic_codes,registered_address,directors,directors_count,psc_names,total_filings,filing_types,last_filing,company_age_days,is_active,has_charges,has_insolvency
nails,Manchester,Misha & Eti Beauty Studio,0161 393 3388,"118 High St, Manchester, M4 1HQ",4.9,273,http://mishaetibeauty.co.uk/,14781129,MISHA & ETI BEAUTY STUDIO LTD,active,ltd,2023-04-04,96020,118 High Street Manchester M4 1HQ,"GHASEMZADEH, Ehteram (since 2023-04-04); MESRI, Mahshid (since 2023-04-04)",2,Miss Mahshid Mesri; Mrs Ehteram Ghasemzadeh,10,"{""confirmation-statement"": 3, ""accounts"": 4, ""address"": 2, ""incorporation"": 1}",2026-04-10,1268,1,0,0
nails,Manchester,Love Nails Manchester,0161 222 3690,"28 Blackfriars St, Salford, M3 5BQ",4.7,142,https://instagram.com/m_lovenails_?igshid=YmMyMTA2M2Y=,15631901,CLASSY NAILS & BEAUTY MANCHESTER LIMITED,dissolved,ltd,2024-04-10,96020,Black Horse Chambers 231 Elliott Street Manchester M29 8DG,"NGUYEN, Tien Van (since 2024-04-10)",1,Mr Tien Van Nguyen,4,"{""gazette"": 2, ""confirmation-statement"": 1, ""incorporation"": 1}",2026-06-02,896,0,0,0
nails,Manchester,JANEA Nails & Beauty,0161 376 5648,"15-17 Chapel Walks, Manchester, M2 1HN",4.6,275,https://janea.co.uk/,14825958,A A NAILS & BEAUTY LTD,active,ltd,2023-04-25,96090,47 Salusbury Road London NW6 6NJ,"MINICARU, Anca Iuliana (since 2023-04-25); SHAIKH, Amir Ahmad (since 2023-04-25)",2,Mr Amir Ahmad Shaikh; Ms Anca Iuliana Minicaru,8,"{""accounts"": 3, ""confirmation-statement"": 3, ""address"": 1, ""incorporation"": 1}",2026-05-20,1247,1,0,0
nails,Manchester,Bella Naillash – Nail Salon Manchester,07356 268849,"Manchester, Princess St, China Town",5,217,https://www.bellanaillash.com/book-online,16728880,BELLA BEA HAIR STUDIO LTD,active,ltd,2025-09-19,96020,5 Canon Court Bolton BL1 1PZ,"COOK, Gemma Marie (since 2025-09-19)",1,Gemma Marie Cook,3,"{""confirmation-statement"": 1, ""change-of-name"": 1, ""incorporation"": 1}",2026-03-17,369,1,0,0
nails,Manchester,Beauty and Bubbles,0161 228 3375,"47 Dale St, Manchester, M1 2HF",4.7,1413,https://www.beautyandbubbles.co.uk/,07965805,BEAUTY AND BUBBLES LTD,active,ltd,2012-02-27,96020,47 Dale Street Manchester M1 2HF,"LEESON, Daniel, Mr. (since 2012-02-27); SIXSMITH, Mark, Mr. (since 2012-02-27)",2,Mr Daniel Leeson; Mr Mark Sixsmith,25,"{""accounts"": 12, ""confirmation-statement"": 10, ""officers"": 1, ""change-of-name"": 1, ""resolution"": 1}",2026-03-17,5322,1,0,0
nails,Manchester,Bisou Nail Studio,07888 697303,"73-75 Lever St, Manchester, M1 2AP",4.7,40,,11700575,BISOU NAILS SYSTEM LTD,active,ltd,2018-11-28,"47890,47910",65 Hollywood Towers Stockport SK3 0HL,"SEHAR, Rabia (since 2018-11-28); SIMKUTE, Greta (since 2018-11-28)",2,Mrs Rabia Sehar; Mrs Greta Simkute,10,"{""dissolution"": 1, ""gazette"": 1, ""confirmation-statement"": 4, ""accounts"": 3, ""incorporation"": 1}",2023-11-11,2856,1,0,0
nails,Manchester,Eleganza Nails,07397 303767,"49 Piccadilly 49 Piccadilly House office number 313, Manchester, M1 2AP",5,121,,15921458,ELEGANZA NAILS LTD,active,ltd,2024-08-28,96020,18d Church Street West Manchester M26 2SQ,"YAZDAN KHAH, Leila (since 2024-08-28)",1,Miss Leila Yazdan Khah,5,"{""confirmation-statement"": 2, ""accounts"": 2, ""incorporation"": 1}",2026-09-11,756,1,0,0
nails,Manchester,Ivy Nails,0161 236 8732,"14a Oxford Rd, Manchester, M1 5QA",4.2,676,https://www.ivynailsmanchester.co.uk/,10447087,IVY NAILS LIMITED,active,ltd,2016-10-26,96020,7 Victoria Road Nottingham NG4 2LA,"XIAO, Wei (since 2026-04-30); JIN, Donghe (since 2018-04-05); XIAO, Wei (since 2016-10-26)",3,Mrs Wei Xiao,25,"{""accounts"": 9, ""persons-with-significant-control"": 4, ""officers"": 2, ""address"": 1, ""confirmation-statement"": 7, ""gazette"": 2}",2026-06-29,3619,1,0,0
nails,Manchester,Create & Coat Nail Salon,07445 630465,"Fl 0, Harvey Nichols, 21 New Cathedral St, Manchester M1 1AD",4.6,71,,SC825187,LUSH NAILS & SPA COATBRIDGE LIMITED,active,ltd,2024-10-08,96020,6 St. John Street Coatbridge ML5 3EJ,"DOAN THU, Hang (since 2024-10-08)",1,Ms Hang Doan Thu,3,"{""accounts"": 1, ""confirmation-statement"": 1, ""incorporation"": 1}",2026-05-22,715,1,0,0
nails,Manchester,Nails Icon,07928 195181,"76 Bridge St, Manchester, M3 2RJ",4.3,134,https://nailsicon.loviebooking.co.uk/,15969441,NAILS ICON LTD,active,ltd,2024-09-20,96020,76 Bridge Street Manchester M3 2RJ,"NGO, Hieu Quang (since 2024-09-20)",1,Mr Hieu Quang Ngo,3,"{""accounts"": 1, ""confirmation-statement"": 1, ""incorporation"": 1}",2026-02-09,733,1,0,0
electrician,Manchester,24 Hour Electrician Manchester,0161 531 8870,"32 Dean St, Manchester, M4 5BG",4.9,55,https://mcr24hrelectrician.lovable.app/,11455820,EMERGENCY ELECTRICIAN 24 HOUR GRIP ELECTRIC LTD,active,ltd,2018-07-09,"43210,46690,68100",Top Flat Dean House 121 London Road North Redhill RH1 3AL,"ZAFAR, Usman Ahmed (since 2018-07-09)",1,Mr Usman Ahmed Zafar,25,"{""confirmation-statement"": 9, ""accounts"": 7, ""officers"": 2, ""persons-with-significant-control"": 2, ""address"": 4, ""change-of-name"": 1}",2026-06-04,2998,1,0,0
electrician,Manchester,The Emergency Electricians,07703 295654,"39 Slade Ln, Levenshulme, Manchester, M13 0QJ",5,257,https://www.theemergencyelectricians.co.uk/,17183608,ARS EMERGENCY ELECTRICIANS LTD,active,ltd,2026-04-27,96090,6 John Parker Square London SW11 2HP,"SHAFIQUE, Zeeshan (since 2026-04-27)",1,Mr Zeeshan Shafique,1,"{""incorporation"": 1}",2026-04-27,149,1,0,0
electrician,Manchester,Romelec Electrical Limited,,"304, Beaumont Building, 22 Mirabel St, Cheetham Hill, Manchester M3 1DX",5,239,https://www.romelec.co.uk/,15397963,ROMELEC ELECTRICAL LTD,active,ltd,2024-01-08,43210,304 Beaumont Building Mirabel Street Manchester M3 1DX,"GAMBO, Roman (since 2024-01-08)",1,Mr Roman Gambo,5,"{""address"": 1, ""gazette"": 2, ""confirmation-statement"": 1, ""incorporation"": 1}",2026-07-10,989,1,0,0
electrician,Manchester,AES Electrical Services,07490 705167,"Hanworth Cl, Manchester, M13 9LD",5,160,https://www.aeselectricians.co.uk/,14050403,AES ELECTRICAL SERVICES LIMITED,dissolved,ltd,2022-04-17,43210,2 Springfield Road Crawley RH11 8AD,"BUCKINGHAM, Jamie (since 2022-04-17)",1,Mr Jamie Buckingham,10,"{""gazette"": 2, ""officers"": 1, ""address"": 1, ""confirmation-statement"": 2, ""accounts"": 2, ""change-of-name"": 1, ""incorporation"": 1}",2025-07-29,1620,0,0,0
electrician,Manchester,KHL Electrical Contractors - Manchester,07458 947688,,4.8,78,http://www.khlelectricalcontractors.co.uk/,15734306,KHL ELECTRICAL CONTRACTORS LTD,active,ltd,2024-05-22,43210,"Suite 3 - First Floor , Hexagon House Cheadle SK8 1NZ","KHALILI, Saeed (since 2024-05-22)",1,Mr Saeed Khalili,4,"{""confirmation-statement"": 2, ""accounts"": 1, ""incorporation"": 1}",2026-05-26,854,1,0,0
electrician,Manchester,AK Electrical Services,07888 731205,"Brooklyn Ave, Manchester, M16 0BY",5,279,http://akelectricians.co.uk/,12536265,AK ELECTRICAL SERVICES LIMITED,active,ltd,2020-03-26,43210,12 Brooklyn Avenue Manchester M16 0BY,"KHAN, Abdullah (since 2020-03-26)",1,Mr Abdullah Khan,14,"{""confirmation-statement"": 7, ""accounts"": 5, ""address"": 1, ""incorporation"": 1}",2026-07-17,2372,1,0,0
electrician,Manchester,Plug Electrical Services,07943 095215,"9 Selborne Rd, Chorlton-cum-Hardy, Manchester, M21 0BL",5,145,https://plugelectrical.uk/,13817926,THE PLUG ELECTRICAL SERVICES LTD,dissolved,ltd,2021-12-24,43210,74 Bristol Street Birmingham B5 7AH,"LO, Jordan (since 2021-12-24)",1,Jordan Lo,8,"{""gazette"": 2, ""accounts"": 2, ""confirmation-statement"": 2, ""address"": 1, ""incorporation"": 1}",2025-05-27,1734,0,0,0
electrician,Manchester,MAP Electrical,07466 889440,"104 Wilbraham Rd, Fallowfield, Manchester, M14 7DR",5,127,http://www.mapelectrical.co.uk/,04868162,MAP ELECTRICAL LTD,dissolved,ltd,2003-08-15,47540,F A SIMMS & PARTNERS LIMITED Lutterworth LE17 5FB,"JAMES, Michael John (since 2020-06-12); USATOVA, Yana (since 2020-07-02); ROBERTS, Adrian (since 2003-08-15)",3,Mr Adrian Roberts,25,"{""gazette"": 1, ""insolvency"": 6, ""address"": 1, ""resolution"": 1, ""officers"": 3, ""accounts"": 6, ""confirmation-statement"": 4, ""mortgage"": 1, ""annual-return"": 2}",2022-12-20,8440,0,1,1
electrician,Manchester,MCR Electrical Services,07405 431800,,5,69,https://mcrelectrical.uk/,11385791,MCR ELECTRICAL SERVICES LTD,active,ltd,2018-05-29,43210,38 Woodlands Street Manchester M8 9LL,"MASOOD, Idrees (since 2018-05-29)",1,Mr Idrees Masood,23,"{""confirmation-statement"": 8, ""miscellaneous"": 2, ""address"": 2, ""accounts"": 7, ""resolution"": 1, ""persons-with-significant-control"": 2, ""incorporation"": 1}",2026-09-09,3039,1,0,0
electrician,Manchester,24hr Electrician of Manchester,0161 531 2806,"Statham House, Talbot Rd, Old Trafford, Stretford, Manchester M32 0FP",5,14,https://electrician24hr.lovable.app/,13190352,ESSEX ELECTRICIAN 24HR LIMITED,liquidation,ltd,2021-02-09,43210,Unit 2.01 Hollinwood Buisness Centre Hollinwood OL8 3QL,"MAY, Daniel Peter (since 2023-10-14); HARBER, Clare (since 2023-09-27); HARBER, Clare (since 2021-03-01); MAY, Daniel Peter (since 2021-07-21); MAY, Daniel Peter (since 2021-02-09)",5,Mr Daniel Peter May,25,"{""address"": 2, ""insolvency"": 2, ""resolution"": 1, ""accounts"": 4, ""confirmation-statement"": 5, ""mortgage"": 1, ""officers"": 4, ""persons-with-significant-control"": 6}",2025-08-15,2052,0,0,1
electrician,Manchester,NHElectricals ltd,07533 202575,"81 Langport Ave, Manchester, M12 4NR",4.7,42,http://www.nhelectricals.co.uk/,07249538,N.H.ELECTRICALS AND PROPERTY MAINTENANCE LTD,dissolved,ltd,2010-05-11,,1 The Fold Wallsends NE6 4XL,"HOBBS, Nigel Leslie (since 2010-05-11)",1,,3,"{""gazette"": 2, ""incorporation"": 1}",2011-12-27,5979,0,0,0
electrician,Manchester,Electric-Call Services Limited,0161 637 0734,"Address: Adamson House, Towers Business Park, Wilmslow Rd Didsbury, Greater, Manchester, M20 2YY",4.7,55,https://electric-call.co.uk/,11926585,ELECTRIC-CALL SERVICES LTD,active,ltd,2019-04-04,43210,Adamson House Towers Business Park Manchester M20 2YY,"SEATON, Vincent (since 2019-04-04)",1,Mr Vincent Seaton,19,"{""persons-with-significant-control"": 1, ""officers"": 1, ""confirmation-statement"": 7, ""accounts"": 6, ""address"": 2, ""resolution"": 1, ""incorporation"": 1}",2026-05-07,2729,1,0,0
electrician,Manchester,AH Electrical Services,,,5,407,http://ahelectricalservices.co.uk/,15342420,AH ELECTRICAL SERVICES LIMITED,active,ltd,2023-12-11,43210,120 Russell Street Manchester M16 7JL,"HADDAD, Adam (since 2023-12-11)",1,Mr Adam Haddad,5,"{""confirmation-statement"": 3, ""accounts"": 1, ""incorporation"": 1}",2025-12-24,1017,1,0,0
electrician,Manchester,Local Electrician 24-7 ltd | Electrical Services,07999 553838,"Seymour Grove, Old Trafford, Stretford, Manchester, M16 0TU",5,92,https://localelectrician24-7.co.uk/,16472847,LOCAL ELECTRICIAN 24-7 LTD,active,ltd,2025-05-24,43210,23 Assheton Crescent Manchester M40 1NN,"BABANZADEH, Mohammad (since 2025-05-24); ESFANDIAR, Mahmoud (since 2025-05-24)",2,Mr Mahmoud Esfandiar; Mr Mohammad Babanzadeh,2,"{""confirmation-statement"": 1, ""incorporation"": 1}",2026-06-30,487,1,0,0
electrician,Manchester,Manchester Electric,0161 850 1610,,4.8,110,http://www.manchesterelectric.co.uk/,08258752,MANCHESTER ELECTRIC LTD,active,ltd,2012-10-18,43210,Unit 8 2nd Floor Manchester M1 5QF,"GALATI, Luciano (since 2012-10-18)",1,Mr Luciano Galati,25,"{""accounts"": 13, ""confirmation-statement"": 10, ""annual-return"": 2}",2025-12-02,5088,1,0,0
electrician,Manchester,"HD Electrics – Electrical Services in South Manchester, Cheshire & Stockport",07871 238999,,5,53,https://hd-electrics.com/,10740634,"LIVERPOOL, MANCHESTER, CHESHIRE GASTROENTEROLOGY LIMITED",active,ltd,2017-04-25,86210,"C/O Echo Tax, Spaces Manchester Peter House Manchester M1 5AN","SARKAR, Arun George (since 2024-10-31); SARKAR, Sanchoy (since 2017-04-25)",2,Sanchoy Sarkar,25,"{""accounts"": 8, ""confirmation-statement"": 9, ""officers"": 2, ""persons-with-significant-control"": 1, ""address"": 3, ""capital"": 2}",2025-10-20,3438,1,0,0
electrician,Manchester,RN Electrical Services,07976 837343,"25 St Brannocks Rd, Chorlton-cum-Hardy, Manchester, M21 0UP",5,133,http://rnelectricalservices.co.uk/,09935354,RN ELECTRICAL SERVICES LIMITED,dissolved,ltd,2016-01-05,33140,"4th Floor, Park Gate Brighton BN1 6AF","NAISH, Roy (since 2016-01-05)",1,Mrs Joanna Carol Naish; Mr Roy Naish,21,"{""gazette"": 2, ""dissolution"": 1, ""confirmation-statement"": 6, ""accounts"": 5, ""officers"": 1, ""persons-with-significant-control"": 3, ""capital"": 1, ""address"": 1, ""incorporation"": 1}",2022-09-13,3914,0,0,0
electrician,Manchester,Twin & Earth Electrical,07852 704349,"15 Armadale Ave, Manchester, M9 6HS",5,19,,16338302,TWIN & EARTH ELECTRICAL LTD,dissolved,ltd,2025-03-24,"33140,43210",4 Mill Lake Factory Hill Gillingham SP8 5FS,"GADD, Gareth (since 2025-03-24); WALTON, Hannah Elizabeth (since 2025-03-24)",2,Mr Gareth Gadd,5,"{""gazette"": 2, ""dissolution"": 1, ""confirmation-statement"": 1, ""incorporation"": 1}",2026-07-14,548,0,0,0
electrician,Manchester,HRS Electrical Works ltd,07545 395414,"Bury New Rd, Salford, Manchester, M8 8EG",5,84,https://localmanchesterelectrician.co.uk/,16197910,HRS ELECTRICAL WORKS LTD,active,ltd,2025-01-21,"33140,43210",31 Venture Scout Way Manchester M8 8SY,"SHAFIQ, Hafeez -U- Rehman (since 2025-01-21)",1,Mr Hafeez -U- Rehman Shafiq,2,"{""confirmation-statement"": 1, ""incorporation"": 1}",2026-02-11,610,1,0,0
electrician,Manchester,Prime Electrical Manchester Ltd,07735 904738,"Sutton Dr, Droylsden, Manchester, M43 7RX",5,17,https://www.primeelectricalmcr.co.uk/,16179344,PRIME ELECTRICAL MANCHESTER LTD,active,ltd,2025-01-13,43210,31 Sutton Drive Manchester M43 7RX,"SMITH, Daniel (since 2025-01-13)",1,Mr Daniel Smith,2,"{""confirmation-statement"": 1, ""incorporation"": 1}",2026-05-19,618,1,0,0
dog_groomers,Manchester,"The Mutts Club, Manchester City Centre Dog Grooming",0161 413 3969,"Unit 5, The Mutts Club, 2 Lampwick Ln, Manchester M4 6BU",4.9,76,http://www.themuttsclub.co.uk/,16859871,MACKEM MUTTS DOG GROOMING LTD,active,ltd,2025-11-17,96090,1 Fountains Reach Preston PR5 4UF,"PRIOR, Lucy (since 2025-11-17)",1,Miss Lucy Prior,1,"{""incorporation"": 1}",2025-11-17,310,1,0,0
dog_groomers,Manchester,"Arch & Bark Ltd, Manchester City Centre Dog Groomers",07776 765473,"4 Mirabel St, Cheetham Hill, Manchester, M3 1PJ",5,10,https://www.archandbark.co.uk/,16875165,BARKBERRY YARD DOG GROOMERS AND ACADEMY LTD,active,ltd,2025-11-26,96090,Cedar House The Bell Plantation Towcester NN12 6GX,"BURROWS, Leah Marie (since 2025-11-26)",1,Miss Leah Marie Burrows,1,"{""incorporation"": 1}",2025-11-26,301,1,0,0
dog_groomers,Manchester,The Barkside Manchester City Centre,07876 623579,"Richmond House, Travis St, Manchester, M1 2NF",4.9,131,http://www.thebarksidemcr.co.uk/,11106796,THE BARKSIDE MANCHESTER LTD,active,ltd,2017-12-12,94110,Regent House Manchester M1 2NG,"DAVIES, Elkie Jazz (since 2017-12-12)",1,Miss Elkie Jazz Davies,21,"{""accounts"": 9, ""confirmation-statement"": 8, ""persons-with-significant-control"": 1, ""change-of-name"": 2, ""incorporation"": 1}",2026-08-25,3207,1,0,0
dog_groomers,Manchester,Manchester Dog Groomers,,"UNIT 3B, Varley Business Centre, Miles Platting, Manchester M40 8EL",4.3,23,https://www.facebook.com/smartbreedergrooming,17382033,ABSOLUTE DOGS GROOMERS LIMITED,active,ltd,2026-08-05,96090,21 Oakleigh Drive Peterborough PE2 7BG,"COOPER, Jennifer (since 2026-08-05)",1,Ms Jennifer Cooper,1,"{""incorporation"": 1}",2026-08-05,49,1,0,0
dog_groomers,Manchester,Urbanpaw,0161 434 4581,"114 Burton Rd, West Didsbury, Manchester, M20 1LP",4.8,127,http://www.urbanpaw-grooming.co.uk/,11420187,URBANPAW GROOMING LTD,dissolved,ltd,2018-06-18,96090,114 Burton Road Manchester M20 1LP,"TAYLOR, Reilly Reece (since 2018-06-18)",1,Mr Reilly Reece Taylor,16,"{""gazette"": 2, ""accounts"": 6, ""confirmation-statement"": 6, ""address"": 1, ""incorporation"": 1}",2025-11-18,3019,0,0,0
dog_groomers,Manchester,THEO'S,07590 194347,"Lancaster House, 80 Princess St, Manchester, M1 6NF",4.9,18,https://www.theosdogs.co.uk/,14460008,HELIOS SOLAR HOLDINGS LTD,active,ltd,2022-11-03,64209,Turashill Wardhedges Road Bedford MK45 5ED,"HARLEY, Robert Lee (since 2022-11-03)",1,Mr Robert Lee Harley,9,"{""accounts"": 3, ""change-of-name"": 1, ""confirmation-statement"": 3, ""address"": 1, ""incorporation"": 1}",2026-08-20,1420,1,0,0
dog_groomers,Manchester,Pampered Paws Dog Grooming,07414 960725,"Springbank Farm, Tan Yard Brow, Gorton, Manchester M18 8UJ",4.8,70,http://pampered-paws-dog-grooming.co.uk/,10671536,PAMPERED PAWS DOG GROOMING LIMITED,active,ltd,2017-03-15,96090,10 Chathill Terrace Newcastle Upon Tyne NE6 3BB,"LYON, Donna (since 2017-03-15)",1,Miss Donna Lyon,21,"{""persons-with-significant-control"": 3, ""confirmation-statement"": 9, ""accounts"": 8, ""incorporation"": 1}",2026-04-13,3479,1,0,0
dog_groomers,Manchester,Star Spa Dog Grooming & Academy,07891 312460,"Warwick Rd, Middleton, Manchester, M24 1HU",5,46,https://www.starspadg.com/,14457851,JUST FUR DOGZ GROOMING & TRAINING ACADEMY LTD,dissolved,ltd,2022-11-02,"85320,85590",39 Chelsfield Gardens London SE26 4DJ,"FRANCES, Brett Dean (since 2022-11-02); HUGHES, Lynn Jane (since 2022-11-02)",2,Mr Brett Dean Frances; Ms Lynn Jane Hughes,6,"{""gazette"": 2, ""dissolution"": 1, ""officers"": 1, ""confirmation-statement"": 1, ""incorporation"": 1}",2025-06-24,1421,0,0,0
dog_groomers,Manchester,Manchester Canine Stylist,07379 113512,"64 Beech Rd, Chorlton-cum-Hardy, Manchester, M21 9EG",4.9,10,,11318733,A & A HAIR STYLISTS LIMITED,active,ltd,2018-04-19,96020,12 Duke Street Cardiff CF10 1AY,"LAZAROU, Adam George (since 2018-04-19); LAZAROU, Andreas (since 2018-04-19)",2,Mr Andreas Lazarou; Mr Adam George Lazarou,25,"{""confirmation-statement"": 8, ""accounts"": 8, ""persons-with-significant-control"": 2, ""officers"": 3, ""address"": 4}",2026-05-06,3079,1,0,0
dog_groomers,Manchester,Calm Paws Grooming Studio,07769 471772,"69 Clifton St, Failsworth, Manchester, M35 9EF",5,23,https://www.facebook.com/people/Calm-Paws-Studio/61586122113593/?mibextid=wwXIfr&rdid=v9u0KzsyXSpxSnPl&share_url=https://www.facebook.com/share/18Lm2uJXgi/?mibextid=wwXIfr,04707368,MUCKY PAWS GROOMING STUDIO LIMITED,active,ltd,2003-03-21,96090,402 Albion Street Kingswinford DY6 0JP,"AUSTIN, Louise (since 2003-03-29)",1,Miss Louise Austin,25,"{""confirmation-statement"": 10, ""accounts"": 11, ""annual-return"": 2, ""officers"": 1, ""address"": 1}",2026-03-03,8587,1,0,0
dog_groomers,Manchester,Lucy's Groom Room,07760 935239,"Saddlewood Ave, East Didsbury, Manchester, M19 1QW",5,59,,14028586,ACE GROOMING ROOM LTD,active,ltd,2022-04-06,96020,Ace Grooming Room 15a Empire Parade London N18 1AA,"DOGAN, Ismet (since 2026-06-18); DOGAN, Can Mazlum (since 2022-04-06)",2,Mr Ismet Dogan,13,"{""confirmation-statement"": 5, ""persons-with-significant-control"": 2, ""officers"": 2, ""accounts"": 3, ""incorporation"": 1}",2026-06-19,1631,1,0,0
dog_groomers,Manchester,Shearzam dog grooming,07850 799266,"2, Manchester, M18 7BF",5,23,,09452649,AIDNEYS P.A.W.S DOG GROOMING LTD,active,ltd,2015-02-23,96090,435 Watling Street Tamworth B78 3ND,"AIDNEY, Martyn Joseph Edwin (since 2021-04-25); AIDNEY, Sheryl Louise (since 2015-02-23)",2,Mr Martyn Joseph Edwin Aidney,25,"{""confirmation-statement"": 9, ""accounts"": 11, ""persons-with-significant-control"": 3, ""officers"": 2}",2026-01-31,4230,1,0,0
