vertical,city,businessName,phone,address,rating,reviewCount,website,place_id,source,company_number,company_status,incorporation_date,sic_codes,registered_address,director_name,director_role
electrician,Manchester,Romelec Electrical Limited,,"304, Beaumont Building, 22 Mirabel St, Cheetham Hill, Manchester M3 1DX",5,239,https://www.romelec.co.uk/,ChIJCeCdc0VaA48Rl0KVzN9_mhY,serpapi,,,,,,,
electrician,Manchester,AES Electrical Services,07490 705167,"Hanworth Cl, Manchester, M13 9LD",5,160,https://www.aeselectricians.co.uk/,ChIJ4U4o_FZ30QYRO3qgKzVakR0,serpapi,,,,,,,
electrician,Manchester,KHL Electrical Contractors - Manchester,07458 947688,,4.8,78,http://www.khlelectricalcontractors.co.uk/,ChIJtWy1mUOxe0gRC5N0feTel4k,serpapi,,,,,,,
electrician,Manchester,AK Electrical Services,07888 731205,"Brooklyn Ave, Manchester, M16 0BY",5,279,http://akelectricians.co.uk/,ChIJmQNJCfute0gRk1ZZzRqAyWs,serpapi,,,,,,,
electrician,Manchester,Plug Electrical Services,07943 095215,"9 Selborne Rd, Chorlton-cum-Hardy, Manchester, M21 0BL",5,145,https://plugelectrical.uk/,ChIJFxAy1wite0gRmW4UPZg40uQ,serpapi,,,,,,,
electrician,Manchester,MAP Electrical,07466 889440,"104 Wilbraham Rd, Fallowfield, Manchester, M14 7DR",5,127,http://www.mapelectrical.co.uk/,ChIJH0Z73xeye0gRmelQ2JSsI6I,serpapi,,,,,,,
electrician,Manchester,MCR Electrical Services,07405 431800,,5,69,https://mcrelectrical.uk/,ChIJaeYEZxnhRWkRpEvZ031il0Y,serpapi,,,,,,,
electrician,Manchester,24hr Electrician of Manchester,0161 531 2806,"Statham House, Talbot Rd, Old Trafford, Stretford, Manchester M32 0FP",5,14,https://electrician24hr.lovable.app/,ChIJsXxti-nqVIIRe3_YRWlb5uY,serpapi,,,,,,,
electrician,Manchester,NHElectricals ltd,07533 202575,"81 Langport Ave, Manchester, M12 4NR",4.7,42,http://www.nhelectricals.co.uk/,ChIJR4AGf3ixe0gRWYKtbVEHFj8,serpapi,,,,,,,
electrician,Manchester,Electric-Call Services Limited,0161 637 0734,"Address: Adamson House, Towers Business Park, Wilmslow Rd Didsbury, Greater, Manchester, M20 2YY",4.7,55,https://electric-call.co.uk/,ChIJqzLggMGte0gRx2nutk8xjaE,serpapi,,,,,,,
electrician,Manchester,AH Electrical Services,,,5,407,http://ahelectricalservices.co.uk/,ChIJ84QpW8Gze0gRVIHP7cpwYnI,serpapi,,,,,,,
electrician,Manchester,Local Electrician 24-7 ltd | Electrical Services,07999 553838,"Seymour Grove, Old Trafford, Stretford, Manchester, M16 0TU",5,92,https://localelectrician24-7.co.uk/,ChIJOx3EyXive0gRyL9ZDhwjKgY,serpapi,,,,,,,
electrician,Manchester,Manchester Electric,0161 850 1610,,4.8,110,http://www.manchesterelectric.co.uk/,ChIJozDYf-yxe0gR5vt77oDZlMA,serpapi,,,,,,,
electrician,Manchester,"HD Electrics – Electrical Services in South Manchester, Cheshire & Stockport",07871 238999,,5,53,https://hd-electrics.com/,ChIJHZLeiuA3zikRg6_f9MdELKY,serpapi,,,,,,,
electrician,Manchester,RN Electrical Services,07976 837343,"25 St Brannocks Rd, Chorlton-cum-Hardy, Manchester, M21 0UP",5,133,http://rnelectricalservices.co.uk/,ChIJ9euxHiWte0gRqbjn7rRLu54,serpapi,,,,,,,
electrician,Manchester,Twin & Earth Electrical,07852 704349,"15 Armadale Ave, Manchester, M9 6HS",5,19,,ChIJCfK0qAuxe0gRx9r-ZVOo87Y,serpapi,,,,,,,
electrician,Manchester,HRS Electrical Works ltd,07545 395414,"Bury New Rd, Salford, Manchester, M8 8EG",5,84,https://localmanchesterelectrician.co.uk/,ChIJRX0k6Zx1LGYRgqmsRiT0OsQ,serpapi,,,,,,,
electrician,Manchester,Prime Electrical Manchester Ltd,07735 904738,"Sutton Dr, Droylsden, Manchester, M43 7RX",5,17,https://www.primeelectricalmcr.co.uk/,ChIJb_nifzrJxwwR3XRNMG9nk4E,serpapi,,,,,,,
dog_groomers,Manchester,"The Mutts Club, Manchester City Centre Dog Grooming",0161 413 3969,"Unit 5, The Mutts Club, 2 Lampwick Ln, Manchester M4 6BU",4.9,76,http://www.themuttsclub.co.uk/,ChIJt-6OXPCke0gRvAnsHROGb7Q,serpapi,,,,,,,
dog_groomers,Manchester,"Arch & Bark Ltd, Manchester City Centre Dog Groomers",07776 765473,"4 Mirabel St, Cheetham Hill, Manchester, M3 1PJ",5,10,https://www.archandbark.co.uk/,ChIJR0fypxmxe0gRa4kjkyh3lnQ,serpapi,,,,,,,
dog_groomers,Manchester,The Barkside Manchester City Centre,07876 623579,"Richmond House, Travis St, Manchester, M1 2NF",4.9,131,http://www.thebarksidemcr.co.uk/,ChIJB1NGA5ixe0gRxE9tMk-mKeQ,serpapi,,,,,,,
dog_groomers,Manchester,Manchester Dog Groomers,,"UNIT 3B, Varley Business Centre, Miles Platting, Manchester M40 8EL",4.3,23,https://www.facebook.com/smartbreedergrooming,ChIJZ5DO8ySxe0gREjulJlXZnMs,serpapi,,,,,,,
dog_groomers,Manchester,Urbanpaw,0161 434 4581,"114 Burton Rd, West Didsbury, Manchester, M20 1LP",4.8,127,http://www.urbanpaw-grooming.co.uk/,ChIJ69yL42uye0gR-exqzP_3fpY,serpapi,,,,,,,
dog_groomers,Manchester,THEO'S,07590 194347,"Lancaster House, 80 Princess St, Manchester, M1 6NF",4.9,18,https://www.theosdogs.co.uk/,ChIJZ30Bm7Oxe0gRmQzI6erYWiI,serpapi,,,,,,,
dog_groomers,Manchester,Pampered Paws Dog Grooming,07414 960725,"Springbank Farm, Tan Yard Brow, Gorton, Manchester M18 8UJ",4.8,70,http://pampered-paws-dog-grooming.co.uk/,ChIJ34h1ZlGxe0gRQgfF4mj9vOY,serpapi,,,,,,,
dog_groomers,Manchester,Star Spa Dog Grooming & Academy,07891 312460,"Warwick Rd, Middleton, Manchester, M24 1HU",5,46,https://www.starspadg.com/,ChIJl3W7cWqxe0gR_kHoo0tmW4Q,serpapi,,,,,,,
dog_groomers,Manchester,Manchester Canine Stylist,07379 113512,"64 Beech Rd, Chorlton-cum-Hardy, Manchester, M21 9EG",4.9,10,,ChIJQbiaOkCte0gRPMkCLaS4Tqc,serpapi,,,,,,,
dog_groomers,Manchester,Calm Paws Grooming Studio,07769 471772,"69 Clifton St, Failsworth, Manchester, M35 9EF",5,23,https://www.facebook.com/people/Calm-Paws-Studio/61586122113593/?mibextid=wwXIfr&rdid=v9u0KzsyXSpxSnPl&share_url=https://www.facebook.com/share/18Lm2uJXgi/?mibextid=wwXIfr,ChIJkUbKz-O3e0gRo9dXxgeU08Y,serpapi,,,,,,,
dog_groomers,Manchester,Lucy's Groom Room,07760 935239,"Saddlewood Ave, East Didsbury, Manchester, M19 1QW",5,59,,ChIJj7ia9Veze0gRj6YuoFwq5rM,serpapi,,,,,,,
dog_groomers,Manchester,Shearzam dog grooming,07850 799266,"2, Manchester, M18 7BF",5,23,,ChIJA7S9VVuxe0gRWvwgOg6j9TA,serpapi,,,,,,,
dog_groomers,Manchester,J.C Pets pamper & Groom,07769 721750,"95 Vine St, Abbey Hey, Manchester, M18 8SR",4.8,18,,ChIJHdYUB02xe0gRFyQMuQxCM1k,serpapi,,,,,,,
dog_groomers,Manchester,Puppy Power Mobile Dog Grooming,07926 523732,"3 Imperial Wy, Manchester, M9 8GQ",4.3,44,,ChIJe87L84UHe0gRx6pid0xppVs,serpapi,,,,,,,
dog_groomers,Manchester,Pups & Dreams Spa & Academy Ltd Denton,07592 222056,"65 Manchester Rd, Denton, Manchester, M34 2AF",4.9,226,http://www.pupsanddreams.co.uk/,ChIJEWnqVwC1e0gRS4bKIB_2aKY,serpapi,,,,,,,
dog_groomers,Manchester,Woof To Wag,07963 592498,"59 Doncaster Ave, Withington, Manchester, M20 1DH",5,11,,ChIJiYqlVRSye0gRUca7KApsRgg,serpapi,,,,,,,
dog_groomers,Manchester,Garside’s Grooming,07356 216900,"3 Burgess Dr, Failsworth, Manchester, M35 0EU",5,29,https://www.instagram.com/garsidesgrooming?igsh=MXEyc2JxbHZub3RxeA==,ChIJMbsTxo7u-mIRGFEkyw9zG5w,serpapi,,,,,,,
dog_groomers,Manchester,Scruffy to Fluffy,07526 141800,"166 Nuthurst Rd, New Moston, Manchester, M40 3WG",4.6,30,,ChIJB281316xe0gRKsWQSn_CpwM,serpapi,,,,,,,
dog_groomers,Manchester,Loubie Lou’s Dog Grooming,07494 755736,"444 Hollinwood Ave, Manchester, M40 0JH",5,21,,ChIJh_kOUa-xe0gRa1_J_l1YuWY,serpapi,,,,,,,
dog_groomers,Manchester,Cooper & Paws,07897 751787,"77b Long St, Middleton, Manchester, M24 6UN",4.9,80,https://www.facebook.com/Cooperandpaws,ChIJL-o-w227e0gRaeanNnJPzj4,serpapi,,,,,,,
cleaners,Manchester,Manchester House Cleaning Services,0161 676 2888,"61 Mosley St, Manchester, M2 3HZ",4.9,201,https://www.manchesterhousecleaningservices.co.uk/,ChIJ77jOY2ixe0gRcFv_j-ozv_M,serpapi,,,,,,,
cleaners,Manchester,Cleaner in Manchester (0161) Ltd,0161 710 4789,"St James Tower, 7 Charlotte St, Manchester, M1 4DZ",4.9,29,https://0161cleanerinmanchester.co.uk/,ChIJxzeHF4Cxe0gRrqBHga7lz84,serpapi,,,,,,,
cleaners,Manchester,Cleaners With Pride,07840 017649,"23 Pattishall Cl, Manchester, M4 7DU",4.9,804,https://www.cleanerswithpride.co.uk/,ChIJS0HUGLuxe0gRAnGF23ehfW0,serpapi,,,,,,,
cleaners,Manchester,Best Cleaners LTD,07352 003376,"Connecticut Street, Manchester, M1 1AD",5,39,https://bestcleanersltd.uk/,ChIJHXQ4gAWxe0gR8xZ5UhRo5sY,serpapi,,,,,,,
cleaners,Manchester,Kinderlee Cleaning,0161 438 6021,"The business Centre, Aldow Enterprise Park, Piccadilly, Blackett St, Manchester M12 6AE",5,110,http://www.kinderleecleaning.co.uk/,ChIJ7QsQWaWxe0gRs5W351SZ75k,serpapi,,,,,,,
cleaners,Manchester,FirstMaid Cleaners,,"83 Ducie St, Manchester, M1 2JQ",4.3,185,https://firstmaid.co.uk/,ChIJwUlu0zyxe0gRXffLsLVa8Rw,serpapi,,,,,,,
cleaners,Manchester,Ivory Cleaning Company,0161 393 9247,"Bartle House, Oxford Rd, Manchester, M2 3WQ",5,18,https://www.ivorycleaning.co.uk/,ChIJhdUvmnJ1Yo0RRBi5-OgPXRs,serpapi,,,,,,,
cleaners,Manchester,Frontline Cleaners Manchester.,07513 442399,"Bartle House, 9 Oxford Ct, Manchester, M2 3WQ",4.8,51,http://frontlineexpress.co.uk/,ChIJy7Rhx5Kxe0gRG8FVWxgj9MY,serpapi,,,,,,,
cleaners,Manchester,D Deep cleaning Services ltd,07459 416262,"48a Gill St, Manchester, M9 4FZ",4.8,89,https://www.ddeepcleaningservices.com/,ChIJd81xhROxe0gRXEsbGXVOPh4,serpapi,,,,,,,
cleaners,Manchester,AJOL Cleaning Services Manchester,07493 253331,"66B Floyd Ave, Manchester, M21 7NB",4.6,29,http://www.ajolcleaningservices.co.uk/,ChIJkeuZaYmte0gRPoYnBSghAsk,serpapi,,,,,,,
cleaners,Manchester,Olico Commercial Cleaning,0330 133 1094,"11th floor, 3 Piccadilly Pl, Manchester, M1 3BN",5,442,http://www.olico.co.uk/,ChIJC4RJHmmue0gRzmTlAdLyca8,serpapi,,,,,,,
cleaners,Manchester,Venia Cleaning Co,0161 706 2428,"Bartle House, 9 Oxford Ct, Manchester, M2 3WQ",5,18,https://veniacleaning.co.uk/,ChIJ-ZUNKJ2BRqERcD19gD0J1oU,serpapi,,,,,,,
cleaners,Manchester,Homeclean Manchester,0161 241 2761,"Unit 8, Cuthbert Business Centre, Manchester, M11 2NA",4.3,60,http://www.homeclean.co.uk/manchester/?utm_source=GMBlisting&utm_medium=organic,ChIJq6qq54yze0gReJ3v_r-XJGs,serpapi,,,,,,,
cleaners,Manchester,Spring Staffing Cleaning Services Ltd,07493 756203,"16 Chinley Ave, Manchester, M40 9HT",4.9,169,https://springstaffingcleaningservices.co.uk/,ChIJy_xqnCWs008RfT69uXOni2c,serpapi,,,,,,,
cleaners,Manchester,White Regal Cleaning Services,0161 399 1632,"The business Centre, Aldow Enterprise Park, Piccadilly, Blackett St, Manchester M12 6AE",4.8,33,http://www.whiteregal.co.uk/,ChIJOWJo04wQRmARLAmjXtaNhDU,serpapi,,,,,,,
cleaners,Manchester,Exclusive Pro Cleaning,0161 222 0076,"16 Hallworth Rd, Crumpsall, Manchester, M8 5UW",4.9,65,https://exclusiveprocleaning.co.uk/,ChIJUw62SKile0gRCfjALHsPWRM,serpapi,,,,,,,
cleaners,Manchester,House Cleaners Service - Wecasa Domestic Cleaning,07361 593614,"Southcross Rd, Manchester, M18 7NW",4.9,124,http://www.wecasa.co.uk/domestic-cleaning/places/manchester?utm_campaign=cleaning&utm_medium=mybusiness&utm_source=google,ChIJf2WGcKgxPqURgh-_n7c9EnE,serpapi,,,,,,,
cleaners,Manchester,The Professional Cleaning Co,0161 307 3373,"Colony, 76 King St, Manchester, M2 4NH",4.8,66,https://www.theprofessionalcleaningcompany.co.uk/,ChIJj4pyuE-xe0gRSox3dX1xs3w,serpapi,,,,,,,
cleaners,Manchester,MSG Cleaners Manchester,0333 054 0291,"2 Ashfield Rd, Cheadle, SK8 1BB",5,20,http://www.msgcleaners.co.uk/,ChIJwSFCIE-ze0gR-LxCoixA2Kw,serpapi,,,,,,,
cleaners,Manchester,Isla Rose cleaning services LTD,07880 877259,"Grosvenor St, Manchester, M1 7EW",4.6,40,http://rafikicleaningservices.co.uk/,ChIJ3UfCx_6xe0gRdWX1ajoHwUI,serpapi,,,,,,,
hair,Manchester,Melissa Timperley Hair Salon,0161 834 5945,"City Centre, 67 Tib St, Manchester, M4 1LS",4.9,668,http://www.melissa-salons.com/?utm_source=gmb&utm_medium=Organic&utm_campaign=gmb%20traffic,ChIJKYDpLrmxe0gRdfdUbb4XPQs,serpapi,,,,,,,
hair,Manchester,Rush Hair Manchester,0161 241 7618,"69 Deansgate, Manchester, M3 2BW",4.3,604,https://www.rush.co.uk/salons/manchester,ChIJzydzjcOxe0gRdCDY4lDGJms,serpapi,,,,,,,
hair,Manchester,LoA Tokyo Manchester,07778 432650,"38 Spear St, Manchester, M1 1AS",4.9,165,,ChIJe8lnPaSxe0gRcnxwXyT4xno,serpapi,,,,,,,
hair,Manchester,The Studio,0161 236 4182,"10 Stevenson Square, Manchester, M1 1FB",5,211,http://www.thestudiomanchester.co.uk/,ChIJy53t6Z2xe0gROnuj8eeaOWQ,serpapi,,,,,,,
hair,Manchester,RCNQ,0161 222 0200,"16 Whittle St, Manchester, M4 1LT",4.8,761,http://www.rcnq.co.uk/,ChIJ_1et076xe0gRBpxO9rkJRcQ,serpapi,,,,,,,
hair,Manchester,Trevor Sorbie Manchester,0161 839 2255,"19 Spring Gardens, Manchester, M2 1FB",4.9,445,https://trevorsorbie.com/salon/manchester-hairdresser/,ChIJZbLf5cCxe0gRL_2yPkvVNpA,serpapi,,,,,,,
hair,Manchester,Vox Hairdressing,0161 637 4077,"City Centre, 50 Port St, Manchester, M1 2EQ",4.9,707,http://www.voxhairdressing.com/,ChIJ1yI8ILyxe0gRBzw1ke3pKr4,serpapi,,,,,,,
hair,Manchester,Reuben Wood Hair Salon,0161 832 6363,"110 High St, Manchester, M4 1HQ",4.9,432,http://www.reubenwood.co.uk/,ChIJs8iY47ixe0gRZt-SZlDjHhs,serpapi,,,,,,,
hair,Manchester,Dalton Salon,0161 834 5802,"39 John Dalton St, Manchester, M2 6DN",4.8,392,http://daltonstreetsalon.com/,ChIJ3ZgYyY-xe0gRg4dzEkMuZqI,serpapi,,,,,,,
hair,Manchester,Nicky Oliver Hairdressing,0161 241 0380,"32 Oldham St, Manchester, M1 1JN",4.6,916,https://nickyoliver.com/,ChIJ47Lm176xe0gRwFBRsP3BDlE,serpapi,,,,,,,
hair,Manchester,Mai Salon,0161 236 5348,"32 Booth St, Manchester, M2 4AB",4.6,187,https://www.maisalon.co.uk/,ChIJb79ZsMGxe0gRPtf-RAHwhBo,serpapi,,,,,,,
hair,Manchester,Riot Hearts Collective,,"14 Tib Ln, Manchester, M2 4JB",4.9,92,http://www.riothearts.co.uk/,ChIJM6XnOIixe0gREdiCWZTHutk,serpapi,,,,,,,
hair,Manchester,TONI&GUY Manchester,0161 839 2955,"88 Deansgate, Manchester, M3 2ER",4.6,393,https://toniandguy.com/salon/manchester-deansgate,ChIJw23ejsOxe0gRubmZJLCzI7Y,serpapi,,,,,,,
hair,Manchester,M3 Hair & Beauty Ltd,0161 832 2980,"89 Bridge St, Manchester, M3 2RE",4.7,325,http://www.m3hairandbeautymanchester.co.uk/,ChIJ-0BgD8Oxe0gR7hK_99dTCjo,serpapi,,,,,,,
hair,Manchester,Cut & Glow hair and beauty,07348 131852,"Market, Manchester Arndale, 49 Market street,Indide, Manchester M4 3AH",5,96,,ChIJKUbwIJyxe0gRUv-fbYyxNBY,serpapi,,,,,,,
hair,Manchester,Sassoon Hair Salon,0161 524 1500,"1 Marsden St, Manchester, M2 1HW",4.8,348,,ChIJyckZFsGxe0gRFXC1lTsjoWM,serpapi,,,,,,,
hair,Manchester,Shade Hair Mcr,07417 547070,"86 Princess St, Manchester, M1 6NG",4.9,135,http://www.shademcr.com/,ChIJq6oWILyxe0gRzRb89WpUxi4,serpapi,,,,,,,
hair,Manchester,David Rozman Hair Salon,0161 832 0179,"Base Kamp - Hair Salon I Cafe & Wine Bar, 61 Chorlton St., Manchester, M1 3FY",4.7,161,https://www.davidrozman.co.uk/,ChIJIbO7PsKxe0gRcgpTwA0cy2g,serpapi,,,,,,,
hair,Manchester,McCrory Hair,0161 273 3330,"340 Oxford Rd, Manchester, M13 9NG",4.9,756,https://mccroryhair.co.uk/,ChIJ4XNqTImxe0gR10_NAl-c4Ks,serpapi,,,,,,,
hair,Manchester,ChriSalon,0161 237 3788,"83 Princess St, Manchester, M1 4HH",4.7,622,http://www.facebook.com/chrisalonhairdesign,ChIJaybPLcCxe0gRU_JAfAEdeRI,serpapi,,,,,,,
beauty,Manchester,Deluxe Beauty Lounge Manchester | Beauty Salon,07481 250920,"24 Blackfriars St, Salford, M3 5BQ",4.8,44,https://deluxebeautylounge.co.uk/,ChIJWQM3epCxe0gRBN4VxUecCT4,serpapi,,,,,,,
beauty,Manchester,Nataya Beauty,0161 390 0121,"First Floor, Pleer House, 1 Fennel St, Manchester M4 3DU",4.8,113,https://natayabeauty.co.uk/,ChIJjTSB68Cxe0gReuV9mplN8eY,serpapi,,,,,,,
beauty,Manchester,Thee Norah Hair & Beauty Salon,0161 225 4901,"336 Slade Ln, Levenshulme, Manchester, M19 2BL",4.9,1293,https://theenorah.com/,ChIJfwpJ44Sze0gRJ9FH9QN_3Zo,serpapi,,,,,,,
beauty,Manchester,Paloma's Beauty - Pure Aesthetics,0161 222 0150,"1st Floor, 62a Oldham St, Manchester, M4 1LE",4.6,106,http://www.palomas.co.uk/,ChIJMUJt_7qxe0gR019T6-0lnls,serpapi,,,,,,,
beauty,Manchester,Society Beauty,0161 236 3321,"60b Oldham St, Manchester, M4 1LE",4.8,149,https://societybeautymcr.com/,ChIJlxwSK3qxe0gR4owcwtVGcBY,serpapi,,,,,,,
beauty,Manchester,MS Beauty Salon,07903 916231,"65 Peter St, Manchester, M2 5PB",5,35,https://msbeautysalon.uk/,ChIJo_DjuJaxe0gRm0NXqLVjGvc,serpapi,,,,,,,
beauty,Manchester,RAWR Beauty Manchester (Inside Primark),0161 871 7597,"106-122, Market St, Manchester, M1 1WA",4.3,531,https://rawrbeauty.co.uk/salon/beauty-salon-manchester-rawr-express-in-primark/,ChIJUbHDe-ixe0gR_wv9fw_MKYA,serpapi,,,,,,,
beauty,Manchester,Manchester Beauty,07554 456907,"21 Saddlewood Ave, Manchester, M19 1QW",4.8,43,,ChIJp8r-6Feye0gRTgciL67etSQ,serpapi,,,,,,,
beauty,Manchester,Abeer Beauty Salon,0161 256 6528,"103 Longden Rd, Levenshulme, Manchester, M12 5SJ",5,168,,ChIJYy47OfWze0gRBYfA4PQ_V9s,serpapi,,,,,,,
beauty,Manchester,Glam Master Salon & Spa,0161 232 9601,"420 Princess Rd, Fallowfield, Manchester, M14 7FS",4.3,532,http://glammaster.co.uk/,ChIJA0PpAhOye0gRQOqB32J8DdU,serpapi,,,,,,,
beauty,Manchester,Selina’s Hair and Beauty Salon - Aesthetics Courses Manchester,0161 256 4299,"8 Kingsway, Levenshulme, Manchester, M19 2DD",4.7,676,https://selinashairandbeauty.co.uk/,ChIJa9ejZs6ze0gRHUSUBzRZgZc,serpapi,,,,,,,
beauty,Manchester,GlamAura Hair & Beauty Salon,07407 742227,"Ste 9 - 1st Floor, The Point Building, 173 175 Cheetham Hill Rd, Cheetham Hill, Manchester M8 8LG",5,613,http://www.glam-aura.co.uk/,ChIJBUMuUGGxe0gRQoBpuUH7Cro,serpapi,,,,,,,
beauty,Manchester,Style Studio,0161 526 7267,"3 Halliwell Ln, Cheetham Hill, Manchester, M8 9ER",4.8,323,https://www.instagram.com/stylestudioman/,ChIJibHYY-Kxe0gRjUJj3JIGGQE,serpapi,,,,,,,
beauty,Manchester,Salon by FKZ,07825 482126,"Unit 1, Mansion House, 3-5 Keepers Quay, Manchester M4 6GL",4.9,1004,https://salonbyfkz.co.uk/,ChIJ5y1aS6mxe0gRfDDL2Ruxm7c,serpapi,,,,,,,
