vertical,city,businessName,phone,address,rating,reviewCount,website,company_number,company_name,company_status,company_type,incorporation_date,sic_codes,registered_address,directors,directors_count,psc_names,total_filings,last_filing,company_age_days,is_active,has_charges,has_insolvency
gardeners,London,W6 Urban Gardens,020 8912 5685,"17 Ravenscourt Ave, London, W6 0SL",5,2,https://w6urbangardens.co.uk/,05830131,19 SYCAMORE GARDENS W6 LIMITED,active,ltd,2006-05-26,68100,19c Sycamore Gardens Sycamore Gardens London W6 0AP,"DEMUR, Elif Meral (since 2019-02-03); LOVETT, Anne Gisele Marie-Louise (since 2023-05-19); WHEATLEY, Morna Helen (since 2012-02-04); BATES, Michael (since 2006-05-26); CUMING, Katherine Beatrix (since 2019-02-03); DALRYMPLE, Harriet Isabel Cullen (since 2017-02-27); HALFORD, Mark (since 2012-02-04)",7,Ms Anne Gisele Marie-Louise Lovett; Mr William O'Neill; Mrs Elif Meral Demur; Ms Morna Helen Wheatley,25,2026-07-28,7425,1,0,0
gardeners,London,Gardening Services Gardeners,020 3540 7140,"269 Old Marylebone Rd, London, NW1 5BJ",5,1,https://www.gardeningservicesgardeners.co.uk/,06522276,ASSOCIATED GARDENERS AND PROPERTY SERVICES LIMITED,active,ltd,2008-03-04,81300,8 Sarum Crescent Wokingham RG40 1XF,"THORNHILL, Darren (since 2008-03-04); HALLETT, Steven (since 2008-03-04)",2,Mr Darren Thornhill,25,2026-06-07,6777,1,0,0
gardeners,London,Gardeners Biggin Hill,020 3744 3778,"30 High St, London, TN16 1RG",,,http://gardenersbigginhill.org.uk/,02891822,BIGGIN HILL AIRPORT LIMITED,active,ltd,1994-01-26,96090,Main Passenger & Executive Terminal Main Road Biggin Hill TN16 3BH,"CHAPMAN, Gary Ivan (since 2020-06-17); GRAHAM, Robert Elliott (since 2019-11-14); MASSON, Nigel David (since 2020-06-17); WALTERS, Andrew Richard (since 1994-05-04); WALTERS, Robert Andrew Lewis (since 2013-09-26); WINSTANLEY, David (since 2019-03-20); CHAPMAN, Gary Ivan (since 2017-08-16); CURTIS, William Spencer Seymour (since 2013-10-01); KITCHING, John Everley Michael (since 1994-05-04); LANE, Richard Ernest (since 2004-04-01); LONERGAN, Peter (since 2004-05-25); MACANDREW, Nicholas Rupert (since 2016-05-01); MUNRO, Jenny (since 2011-03-24); STURMAN, Robert (since 1994-05-04); WALTERS, David Richard (since 2015-10-01)",15,Regional Airports Limited,25,2026-01-05,11928,1,0,0
gardeners,London,Gardeners Holland Park,,"58 Pembroke Rd, London, W14 8PT",,,http://gardenershollandpark.org.uk/,12982027,HOLLAND PARK GARDENERS LTD,dissolved,ltd,2020-10-28,81300,"Flat 13, 72, Citizen House Hornsey Road London N7 7ND","KOLAVERI, Klodian (since 2020-10-28)",1,Klodian Kolaveri,4,2021-05-04,2156,0,0,0
weddings,London,Emma-Jane Photography,07913 743677,,5,146,http://www.emma-janephotography.co.uk/,12072047,AADAVIS PHOTOGRAPHY LIMITED,active,ltd,2019-06-26,"74201,74202",41 Margraten Avenue Canvey Island SS8 7JD,"DAVIS, Alison (since 2019-06-26)",1,Alison Davis,17,2026-08-19,2646,1,0,0
weddings,London,Philip White Wedding Photography,07753 389831,"3rd floor, 45 Albemarle St, London, W1S 4JL",5,104,https://www.philipwhite.io/london-wedding-photographer/,07580893,WHITE WEDDING PHOTOGRAPHY LIMITED,dissolved,ltd,2011-03-28,96090,61 Rodney Street Liverpool L1  9ER,"CLAUSEN, Anthony Paul (since 2011-03-28)",1,,10,2015-04-14,5658,0,0,0
weddings,London,Event Photographer London,020 3951 7175,"58 Fitzroy St, London, W1T 5BU",5,277,http://freelanceeventsphotographer.co.uk/,12332016,ZINFAD PHOTOGRAPHER EVENTS LTD,dissolved,ltd,2019-11-25,91012,12 Bishopmead Camberwell Road London SE5 0EU,"FADEYI, Zainab Olayori (since 2019-11-25)",1,,3,2021-06-29,2494,0,0,0
weddings,London,UK Wedding Photography,07931 533647,"Flat 2, 44 Coldharbour, London, E14 9NT",5,20,http://www.uk-weddingphotography.com/,10310155,WEDDING PHOTOGRAPHY AND VIDEO UK LTD,dissolved,ltd,2016-08-03,74202,1 Lyndum Grove Leeds LS25 7RQ,"PHILPOT, Asta (since 2016-08-03)",1,Mr Asta Philpot,5,2018-01-09,3703,0,0,0
weddings,London,Hadi Photography London,07444 946465,"9 Hammersmith Rd, London, W14 8XJ",5,99,https://www.hadiphotographylondon.com/,16755772,HADIA LONDON LIMITED,active,ltd,2025-10-01,47789,"57a Broadway, Southend-On-Sea Leigh-On-Sea SS9 1PE","COOK, Jessica Louise (since 2025-10-01); THOMPSON, Rendall (since 2025-10-01)",2,Miss Jessica Louise Cook; Mrs Rendall Thompson,2,2026-06-19,357,1,0,0
weddings,London,The Snapper - London Wedding Photographer,07780 994204,,5,231,https://www.the-snapper.com/,10098602,THE LIVERPOOL WEDDING PHOTOGRAPHER LIMITED,active,ltd,2016-04-01,74202,4 Old School Close Southport PR9 8SB,"ALEXANDER, Gavin Steven James (since 2016-04-01); ALEXANDER, Sarah Jayne (since 2016-04-01)",2,Mr Gavin Steven James Alexander; Mrs Sarah Jayne Alexander,20,2025-05-16,3827,1,0,0
weddings,London,The Kensington Photographer,020 7459 4419,,4.9,155,http://www.thekensingtonphotographer.co.uk/,11831412,THE KENSINGTON PHOTOGRAPHER LTD,active,ltd,2019-02-18,74202,142 142 Cromwell Road London SW7 4EF,"STENNETT, Jason Selbert (since 2024-01-01); GAROKALNS, Miks (since 2021-12-20); GAROKALNS, Miks (since 2019-02-18); STENNETT, Jason Selbert (since 2021-06-26); STENNETT, Jason Selbert (since 2019-11-01)",5,Mr Jason Selbert Stennett,25,2026-09-13,2774,1,0,0
weddings,London,London Wedding Photographer | Doville Gail Photography,07949 747779,"3 Queen St, London, W1J 5PA",5,38,http://www.doville.co.uk/,09525193,LONDON I WEDDING PHOTOGRAPHY LTD,active,ltd,2015-04-02,74209,Unit 2 11 Blackwall Lane London SE10 0NG,"LIANG, Yun (since 2015-04-02)",1,Ms Yun Liang,25,2026-04-30,4192,1,0,0
weddings,London,The Photo Team,020 7859 4626,"3rd Floor, 207 Regent St., London, W1B 3HH",4.9,346,http://thephototeam.co.uk/,08250935,THE PHOTO TEAM PHOTOGRAPHY LIMITED,active,ltd,2012-10-12,"74201,74202",3rd Floor 207 Regent Street London W1B 3HH,"TAILOR, Dharmesh (since 2012-10-12); THERON, Theodorus (since 2012-11-21); THERON, Theodorus (since 2012-10-12)",3,Mr Dharmesh Tailor,25,2026-09-11,5094,1,0,0
weddings,London,Helen Abraham Photography,07894 557881,"14 Thistlewaite Rd, Lower Clapton, London, E5 0QQ",4.9,105,http://www.helenabrahamphotography.com/,07380269,HELEN ABRAHAM PHOTOGRAPHY LIMITED,active,ltd,2010-09-17,74209,14 Thistlewaite Road London E5 0QQ,"ABRAHAM, Helen Anne (since 2010-09-17)",1,Ms Helen Anne Abraham,25,2025-12-31,5850,1,0,0
weddings,London,Kristian Leven Photography,07743 720369,,5,147,https://kristianlevenphotography.co.uk/,07998910,KRISTIAN LEVEN PHOTOGRAPHY LIMITED,active,ltd,2012-03-20,74202,128 City Road London EC1V 2NX,"LEVEN, Kristian (since 2012-03-20); KAHAN, Barbara (since 2012-03-20)",2,Mr Kristian Leven,25,2026-04-09,5300,1,0,0
weddings,London,Barrie Downie Wedding Photographer London,020 3026 5376,"30 New Cavendish St, London, W1G 8UA",4.6,31,https://barriedownie.com/london-wedding-photographer/,SC828341,EYE DO WEDDING PHOTOGRAPHER LTD,dissolved,ltd,2024-11-08,74202,Cairnsmore The Square Perth PH1 4LT,"MCDONALD, Mark (since 2024-11-08)",1,Mr Mark Mcdonald,4,2025-11-25,684,0,0,0
weddings,London,Wedding Photography by Shiv,07833 477143,"Kemp House, 152 City Rd, London, EC1V 2NX",5,96,http://www.weddingphotographybyshiv.com/,13055517,PHOTOGRAPHY BY SHIVANI LTD,active,ltd,2020-12-01,74201,78 Grove Crescent London NW9 0LR,"HARANIA, Shivani (since 2020-12-01)",1,Mrs Shivani Harania,14,2026-09-20,2122,1,0,0
weddings,London,John Sanders Weddings,07460 090280,"23 Prince George Rd, London, N16 8DL",5,116,http://www.johnsandersweddings.com/,11088118,TALL JOHN'S HOUSE WEDDINGS LTD,active,ltd,2017-11-29,82302,Churchgate House 3 Church Road Cardiff CF14 2DX,"CORBET, Elizabeth Petronella (since 2017-11-29); WATSON, Elizabeth (since 2017-11-29); WATSON, Robert Peter Francis (since 2017-11-29); WATSON, Robert Archie Dymock (since 2017-11-29)",4,Mr Robert Archie Dymock Watson,25,2026-08-25,3220,1,0,0
weddings,London,Jeff Oliver Photography,,,5,59,https://www.jeffoliverphotography.com/,06318115,JEFF OLIVER MAINTENANCE LIMITED,active,ltd,2007-07-19,43999,"The Barn, Brockalee Farm Hexham NE47 7JT","OLIVER, Jeffrey (since 2007-07-19)",1,Mr Jeffrey Oliver,25,2026-07-23,7006,1,0,0
weddings,London,Emis Weddings | London Wedding Photographer,,"London, SW2 4ST",5,61,https://www.emisweddings.com/,14550007,EMIS WEDDINGS LTD,dissolved,ltd,2022-12-19,74202,179 The Roundway London N17 7BP,"STASAITIS, Emanuelis (since 2022-12-19)",1,Mr Emanuelis Stasaitis,6,2024-04-23,1374,0,0,0
weddings,London,Wedding Photographer London,07478 823846,"1 Champions Walk, East Village, London, E15 1DN",4.6,10,https://www.hobsfilms.co.uk/,SC828341,EYE DO WEDDING PHOTOGRAPHER LTD,dissolved,ltd,2024-11-08,74202,Cairnsmore The Square Perth PH1 4LT,"MCDONALD, Mark (since 2024-11-08)",1,Mr Mark Mcdonald,4,2025-11-25,684,0,0,0
weddings,London,Ela.Tatiana. Photography,07530 530600,"66b Manor Vale, London, TW8 9JN",5,76,http://et-photography.co.uk/,08527323,ELA TATIANA PHOTOGRAPHY LIMITED,active,ltd,2013-05-13,"59140,90030",66b Manor Vale Brentford TW8 9JN,"KARCZ, Elzbieta Tatiana (since 2013-05-13)",1,Ms Elzbieta Tatiana Karcz,25,2026-05-19,4881,1,0,0
weddings,London,Florian Weddings Photography,07767 509891,"18 Western Gateway, London, E16 1BQ",5,37,https://www.florianweddings.co.uk/,SC788825,ADORE WEDDINGS PHOTOGRAPHY & VIDEOGRAPHY LTD,active,ltd,2023-11-10,74202,C/O Horizon Ca Glasgow G3 7LH,"MEEK, Angela Marie (since 2023-11-10); MEEK, Barrie James (since 2023-11-10)",2,Mr Barrie James Meek; Mrs Angela Marie Meek,6,2025-11-10,1048,1,0,0
weddings,London,Wedding Films London,07853 262024,"32-34 Albion Rd, London, SM2 5TF",5,35,https://weddingfilmslondon.co.uk/,16964851,ACHIEVE BRANDING & TIKTOK LTD,active,ltd,2026-01-15,59112,36-38 Berry Street Wolverhampton WV1 1HA,"HABIB, Adeel (since 2026-01-15)",1,Mr Adeel Habib,2,2026-08-03,251,1,0,0
nails,Leeds,Townhouse Nail Salon,020 7947 0100,"Victoria Gate, Leeds, LS2 7AR",4.6,294,https://townhouse.co.uk/locations/leeds/?utm_source=google&utm_medium=organic_gbp&utm_campaign=north,14754693,TOWNHOUSE SALONS LIMITED,active,ltd,2023-03-24,96020,"Floor 6, Berkshire House London WC1V 7AA","HUBER-MILLET, Juanita Susie (since 2023-03-24); MILLET, Jonathan James (since 2023-03-24)",2,Townhouse Group Limited,11,2026-04-06,1279,1,0,0
nails,Leeds,Violet Nails Salon by Vi at Allertons Leeds| Victoria Gate,07886 163054,"23 Harewood St, Victoria Gate, Leeds, LS2 7AR",5,29,https://www.fresha.com/book-now/violet-nails-salon-by-vi-at-allertons-leeds-ovgkj60v/all-offer?share=true&pId=2701651,14611710,BROWS & NAILS BY VIOLETA ANTON LTD,dissolved,ltd,2023-01-23,"82990,96020",58 Westminster Street Crewe CW2 7LF,"ANTON, Violeta Madalina (since 2023-01-23)",1,Ms Violeta Madalina Anton,4,2025-03-11,1339,0,0,0
nails,Leeds,Trinity Nails & beauty,0113 246 7333,"81 Albion St, Leeds, LS1 5AN",4.5,1658,https://nailsalonsuk.co.uk/west-yorkshire/leeds/trinity-nails-beauty-leeds/,10773883,TRINITY NAILS & BEAUTY LIMITED,dissolved,ltd,2017-05-16,96020,The Wenta Business Centre Enfield EN3 7XU,"DAO, Khanh Thi (since 2017-05-16)",1,Ms Khanh Thi Dao,4,2017-10-31,3417,0,0,0
nails,Leeds,Soho Nails & Beauty,0113 318 7588,"4 Fish St, Leeds, LS1 6DB",3.6,310,http://instagram.com/soholeeds,12190945,NAILS 4 U SOHO LIMITED,active,ltd,2019-09-05,96020,338 Soho Road Birmingham B21 9QL,"DUONG, Nga Tuyet Thi (since 2019-09-05)",1,Mrs Nga Tuyet Thi Duong,15,2026-09-08,2575,1,0,0
nails,Leeds,Holiday nail studio,07500 365361,"Leeds, Great George St, 邮政编码: LS1 3BB",5,37,https://www.instagram.com/holidaynail_leeds?igsh=OGQ5ZDc2ODk2ZA%3D%3D&utm_source=qr,14804210,HOLIDAY NAILS LTD,active,ltd,2023-04-15,96020,46 Lampton Road Hounslow TW3 1JQ,"LUU, Hoang Dinh (since 2023-04-15)",1,Mr Hoang Dinh Luu,6,2026-04-20,1257,1,0,0
nails,Leeds,Luxury Nails,0113 244 6673,"34 Lands Ln, Leeds, LS1 6LB",3.7,319,,10514064,LUXURY NAILS LTD,active,ltd,2016-12-07,96020,34 Land Lane Leeds LS1 6LB,"HOANG, Quynh Thi Phi (since 2016-12-07)",1,Ms Quynh Thi Phi Hoang,25,2026-06-09,3577,1,0,0
nails,Leeds,Nails by Jen,07862 238282,"4 Farm Hill S, Leeds, LS7 2QB",5,151,https://www.instagram.com/nailsbyjennytang/,14010307,JEN NAILS WALSALL LTD,active,ltd,2022-03-29,96020,8b Ellingford Road London E8 3PA,"VO, Bac Ngoc (since 2022-03-29)",1,Mr Bac Ngoc Vo,13,2026-08-28,1639,1,0,0
nails,Leeds,The Beauty Assembly,0113 246 0700,"3, Waterman's Place, Granary Wharf, Leeds LS1 4GL",4.7,161,https://thebeautyassembly.com/,12006192,THE BEAUTY ASSEMBLY LTD,active,ltd,2019-05-20,68209,The Hoff Queens Road Halifax HX3 8RA,"HADJIIOANNOU, Erene (since 2019-05-20); WYNN, Abra Rita (since 2019-05-20)",2,Ms Abra Rita Wynn; Ms Erene Hadjiioannou,20,2026-05-21,2683,1,0,0
nails,Leeds,Glow Nail Bar,0113 225 2903,"3, North Ln, Headingley, Leeds LS6 3HP",4.8,923,https://nailsalonsuk.co.uk/west-yorkshire/leeds/glow-nail-bar-leeds/,15673487,GLOW NAIL BAR GREENGATES LTD,active,ltd,2024-04-23,96020,901 Harrogate Road Bradford BD10 0QY,"ANH, Chu Viet (since 2024-04-23)",1,Mr Chu Viet Anh,4,2026-05-05,883,1,0,0
nails,Leeds,Leon&Queen Nails,07537 874965,"41d, Merrion Shopping Centre, Leeds, LS2 8LY",4.8,414,https://leonqueennails.loviebooking.co.uk/,12190383,A A NAILS LIMITED,active,ltd,2019-09-05,86900,89 New Road Birmingham B45 9JR,"NGUYEN, Huong Hong Thi (since 2019-09-05)",1,Mrs Huong Hong Thi Nguyen,16,2026-04-27,2575,1,0,0
nails,Leeds,Her.Rosiee Nails,+84 932 005 098,"Well Close Rise, Woodhouse, Leeds, LS7 1HT",5,176,,12190383,A A NAILS LIMITED,active,ltd,2019-09-05,86900,89 New Road Birmingham B45 9JR,"NGUYEN, Huong Hong Thi (since 2019-09-05)",1,Mrs Huong Hong Thi Nguyen,16,2026-04-27,2575,1,0,0
nails,Leeds,Blue Nails and Spa,0113 414 5777,"46 New York St, Leeds, LS2 7DY",4.1,68,https://www.facebook.com/profile.php?id=100087437637559,14593569,BLUE NAILS AND SPA LTD,active,ltd,2023-01-16,96020,8b Ellingfort Road London E8 3PA,"HA, Bang Van (since 2024-07-13); TRAN, Linh Hai (since 2023-01-16)",2,Mr Bang Van Ha,15,2026-07-26,1346,1,0,0
nails,Leeds,W Studio,07927 369664,"Kilkenny House, 7 King St, Leeds, LS1 2HH",4.9,66,https://wstudioleeds.co.uk/,11867419,W STUDIO LTD,dissolved,ltd,2019-03-07,74100,"1st Floor, Cromwell House London WC1V 6HZ","WEPPE, Olivier (since 2019-03-07)",1,Mr Olivier Weppe,4,2021-07-27,2757,0,0,0
nails,Leeds,Anne Nails,07769 444499,"61 Great George St, Leeds, LS1 3BB",4.3,185,https://www.instagram.com/annenails_leeds/,13376568,ANNE NAILS LTD,active,ltd,2021-05-05,96020,Ground Floor And Basement Leeds LS1 3BB,"NGUYEN, Huyen Thi Thu (since 2021-05-05)",1,Ms Huyen Thi Thu Nguyen,23,2026-05-19,1967,1,0,0
nails,Leeds,Iconic Nail Studio,07405 505528,"16 Middleton Park Circus, Middleton, Leeds, LS10 4LX",4.9,223,https://iconic-signature.com/,15660851,ICONIC NAILS LTD,active,ltd,2024-04-19,96020,16 Middleton Park Circus Leeds LS10 4LX,"NGUYEN, Huy Van (since 2024-04-19)",1,Mr Huy Van Nguyen,4,2026-05-13,887,1,0,0
nails,Leeds,Mint Nail & Beauty,0113 242 8811,"Leeds Corn Exchange, Call Ln, Leeds, LS1 7BR",4.2,184,http://www.mintsalons.co.uk/,OC323511,MINT NAIL AND BEAUTY BAR LLP,active,llp,2006-10-27,,The Beauty Rooms Wakefield WF1 3BZ,,0,Kathryn Ann Wood; Mrs Sarah Louise Mardenborough,25,2026-06-02,7271,1,0,0
nails,Leeds,Paige Jones Nails Leeds,,"The glam bar, 2 Barras St, Leeds, LS12 4JS",5,30,https://www.paigejonesnails.com/,11540199,RP STUDIOS LIMITED,active,ltd,2018-08-28,96020,1 Townley Road Rochdale OL16 3EN,"BRIERLEY, Robyn (since 2018-08-28)",1,Miss Robyn Brierley,20,2026-05-27,2948,1,0,0
nails,Leeds,AZ Nails,0113 345 0800,"61A The Headrow, Leeds, LS1 6LR",3.7,151,https://www.instagram.com/aznailsleeds/,13331004,AZ NAILS (NOTTINGHAM) LIMITED,active,ltd,2021-04-13,96020,541 Mansfield Road Nottingham NG5 2JL,"NGUYEN, Thi Thu Hang (since 2021-04-13)",1,Ms Thi Thu Hang Nguyen,11,2026-08-05,1989,1,0,0
nails,Leeds,Charming Nails,0113 278 7330,"Otley Rd, Headingley, Leeds, LS6 3AB",4.6,463,,10584584,CHARMING NAILS LTD,active,ltd,2017-01-26,96020,8b Ellingfort Road London E8 3PA,"NGUYEN, Hai Minh Thi (since 2017-10-01); NGUYEN, Duong Van (since 2017-01-26)",2,Ms Hai Minh Thi Nguyen,24,2025-11-14,3527,1,0,0
nails,Leeds,Gill's Nails Ltd,0113 245 0068,"24 New York St, Leeds, LS2 7DY",4.5,156,https://www.facebook.com/gillsnailhairandbeauty/,15303584,GILLS NAILS LTD,active,ltd,2023-11-22,96020,3-4 The Courtyard East Park Crawley RH10 6AG,"TIMLETT, Gillian Constance (since 2023-11-22)",1,Mrs Gillian Constance Timlett,7,2026-08-18,1036,1,0,0
electrician,Leeds,BRO Electrical Leeds LTD,07766 763955,"29 Walkers Grn, Leeds, LS12 4UN",5,66,https://www.broelectrical.co.uk/,16971229,BRO ELECTRICAL LEEDS LTD,active,ltd,2026-01-19,43210,29 Walkers Green Leeds LS12 4UN,"O'BRIEN, Rosanna Claire (since 2026-01-19); O'BRIEN, Thomas Clifford (since 2026-01-19)",2,Mrs Rosanna Claire O'Brien; Mr Thomas Clifford O'Brien,3,2026-04-08,247,1,0,0
electrician,Leeds,MPS Electrical Contractors Ltd,0113 390 9670,"45 Pinfold Ln, Halton, Leeds, LS15 7SX",4.9,92,https://www.mps-electrical.com/,07104604,MPS ELECTRICAL CONTRACTORS LIMITED,active,ltd,2009-12-15,43210,45 Pinfold Lane Leeds LS15 7SX,"SILKSTONE, Marc (since 2009-12-15)",1,Mr Marc Silkstone,25,2026-09-07,6126,1,0,0
electrician,Leeds,Lee Electrical Services,07946 444484,"16 Beck Rd, Harehills, Leeds, LS8 4EJ",5,70,https://lee-electrics.co.uk/,02669888,LEE ELECTRICAL SERVICES LIMITED,dissolved,ltd,1991-12-10,33200,Brookfields Oswestry SY10 8DF,"LEE, Michael Andrew (since 1998-02-18); BRANDRAM, Jacqueline Patricia (since 1991-12-10); LEE, Adrian Elwyn (since 1991-12-10)",3,,25,2015-12-01,12706,0,0,0
electrician,Leeds,SmartWired Electrical Contractor,07463 584628,"93-99 Mabgate, Leeds, LS9 7DR",5,168,https://smartwiredelectrical.co.uk/,13288771,SMARTWIRED ELECTRICAL CONTRACTOR LIMITED,active,ltd,2021-03-24,43210,Mabgate Business Centre Leeds LS9 7DR,"ISLAM, Nurul (since 2021-03-24)",1,Mr Nurul Islam,15,2026-03-18,2009,1,0,0
electrician,Leeds,Wired Electrical,07883 307888,"31 Henconner Ln, Chapel Allerton, Leeds, LS7 3NX",5,62,http://www.wiredleeds.co.uk/,SC254116,WIRED ELECTRICAL LTD.,active,ltd,2003-08-12,46740,539 Lawmoor Street Glasgow G5 0TT,"MCKERRALL, Maureen (since 2019-09-19); MCKERRALL, Maureen (since 2003-08-12); MITCHELL, David James (since 2003-08-12)",3,Mrs Maureen Mckerrall,25,2026-03-27,8443,1,0,0
electrician,Leeds,GD Electrical,07708 223157,,4.9,45,https://www.gd-electrical.co.uk/,09446192,GD ELECTRICAL LTD,active,ltd,2015-02-18,35110,59 Lowther Street Penrith CA11 7UQ,"DAVIS, Gavin Christopher (since 2015-02-18); DAVIS, Suzanne (since 2015-02-18)",2,Mr Gavin Christopher Davis,25,2026-05-14,4235,1,0,0
electrician,Leeds,DC Electrical (Of Leeds) Ltd,0113 370 9015,"Faraday House, 192 York Rd, Leeds, LS9 9LN",5,29,http://www.yorkshire-electrician.co.uk/,06529354,DC ELECTRICAL (OF LEEDS) LIMITED,dissolved,ltd,2008-03-10,43210,Oxford Chambers Guiseley LS20 9AT,"BRANNAN, David Craig (since 2008-03-10)",1,,20,2015-08-12,6771,0,0,1
electrician,Leeds,Fletcher Electric,0113 320 9926,"63 Stonegate Rd, Meanwood, Leeds, LS6 4HZ",5,94,http://www.fletcherelectric.co.uk/,08644448,FLETCHER ELECTRIC LTD,active,ltd,2013-08-09,43210,63 Stonegate Road Leeds LS6 4HZ,"FLETCHER, Matthew (since 2013-08-09)",1,Mr Matthew Fletcher,25,2026-08-10,4793,1,0,0
electrician,Leeds,S P Electrical & General Maintenance,07908 797980,"131 Kedleston Rd, Roundhay, Leeds, LS8 2AU",5,70,http://www.spdlelectrical.co.uk/,NI685729,C CONWAY ELECTRICAL & GENERAL MAINTENANCE LTD,active,ltd,2022-02-10,43210,45 Drumbarley Road Omagh BT78 4SX,"CONWAY, Cronan (since 2022-02-10)",1,Mr Cronan Conway,9,2026-02-12,1686,1,0,0
electrician,Leeds,Flora Electrical Services,07532 003293,"98 Stainbeck Ln, Chapel Allerton, Leeds, LS7 3QS",4.7,49,https://floraelectricalservices.co.uk/,16561685,FEMME FLORA SERVICES LIMITED,active,ltd,2025-07-05,47910,Unit 14.1 Parkhaus 1a Downs Road Hackney E5 8QJ,"ADEGBOYE, Dixon Toluwalogo (since 2026-04-08); EBOIGBE, Elvis Osarobo (since 2025-07-05); OGUNWALE, Bolaji (since 2026-04-08)",3,Mr Dixon Toluwalogo Adegboye; Mr Bolaji Ogunwale; Mr Elvis Osarobo Eboigbe,9,2026-08-11,445,1,0,0
electrician,Leeds,PL Electrical UN Limited,07423 704649,"3 Cranmore Dr, Belle Isle, Leeds, LS10 4AW",4.9,44,http://plelectricalunlimited.com/,12197935,PL ELECTRICAL UN LIMITED,active,ltd,2019-09-10,43210,7 Grosvenor Gardens London SW1W 0AF,"LISZKA, Piotr (since 2019-09-10)",1,Mr Piotr Liszka,21,2026-09-22,2570,1,0,0
electrician,Leeds,Lucid Electrical Services,0113 844 4197,"190 Moseley Wood Gardens, Leeds, LS16 7JE",4.9,68,https://www.lucides.co.uk/,09658269,LUCID ELECTRICAL SERVICES LTD,active,ltd,2015-06-26,43210,190 Moseley Wood Gardens Leeds LS16 7JE,"SCOTT, Benjamin James (since 2015-06-26)",1,Mr Benjamin James Scott,25,2026-09-15,4107,1,0,0
electrician,Leeds,JC ELECTRICAL LEEDS LTD,0113 433 0135,,4.9,53,https://www.jcelectricalleeds.co.uk/,13707608,JC ELECTRICAL LEEDS LTD,active,ltd,2021-10-27,43210,25-29 Sandy Way Yeadon Leeds LS19 7EW,"COHEN, James (since 2021-10-27)",1,Mr James Cohen,16,2026-01-28,1792,1,0,0
electrician,Leeds,GH Electrical Leeds LTD,0113 292 6123,"City West Business Park, Building 3, Gelderd Rd, Leeds LS12 6LN",5,29,http://www.ghelectricalleeds.co.uk/,09550095,GH ELECTRICAL LEEDS LTD,active,ltd,2015-04-20,43210,Building 3 City West Business Park Leeds LS12 6LN,"LEONE, Daniel (since 2015-04-20); LEONE, Gary (since 2015-04-20)",2,Mr Gary Leone,25,2026-01-19,4174,1,0,0
electrician,Leeds,Leeds Bradford Electricians,07411 562115,"4 Forestdale Way, Bradford, BD18 1QP",5,52,https://leedsbradfordelectricians.co.uk/,16779966,LEEDS BRADFORD ELECTRICIANS LTD,active,ltd,2025-10-13,43210,4 Forestdale Way Shipley BD18 1QP,"BOGARD, Harjinder Singh (since 2025-10-13)",1,Mr Harjinder Singh Bogard,0,,345,1,0,0
